Wavelength (nm)	Dilution Corrected Absorbance
230	0.007295043
233	0.00640179
236	0.005741105
239	0.005247974
242	0.004920292
245	0.004638506
248	0.004475402
251	0.004317055
254	0.004223162
257	0.004198475
260	0.004229987
263	0.004287564
266	0.004386867
269	0.004514406
272	0.004567738
275	0.004670908
278	0.004733299
281	0.004791666
284	0.004811354
287	0.0047901
290	0.004769414
293	0.004708376
296	0.004563609
299	0.004377322
302	0.004163636
305	0.00390265
308	0.003633544
311	0.00335478
314	0.003070254
317	0.002782872
320	0.002506651
323	0.002214009
326	0.001959356
329	0.001748053
332	0.001566865
335	0.001401693
338	0.001279638
341	0.001165035
344	0.001064683
347	0.000982926
350	0.0009104427
353	0.0008506295
356	0.0008009117
359	0.0007485206
362	0.0006990865
365	0.0006524434
368	0.0006274677
371	0.0005852427
374	0.0005592423
377	0.0005448399
380	0.0005210891
383	0.0004963923
386	0.000478019
389	0.0004690306
392	0.0004440026
395	0.0004133536
398	0.0004064022
401	0.0003743579
404	0.0003388982
407	0.0003225442
410	0.0002962625
413	0.0002690374
416	0.000265001
419	0.0002450083
422	0.0002361733
425	0.0002407968
428	0.0002397486
431	0.0002460564
434	0.0002448185
437	0.0002489912
440	0.0002181141
443	0.0001973228
446	0.0001816103
449	0.0001679998
452	0.0001529676
455	0.0001511982
458	0.0001578139
461	0.0001538427
464	0.0001615374
467	0.0001684877
470	0.0001714089
473	0.0001790454
476	0.0001533901
479	0.000152358
482	0.0001447869
485	0.0001630965
488	0.0001515889
491	0.0001447675
494	0.0001420083
497	0.0001344548
500	0.0001264585
503	0.0001341995
506	0.0001262199
509	0.000125362
512	0.0001207545
515	0.0001161016
518	0.0001071633
521	0.0001069147
524	0.0001139782
527	0.0001070016
530	0.0001070324
533	0.0001038971
536	0.0001118013
539	0.0001124576
542	0.0001062015
545	0.0001034777
548	9.964412e-05
551	0.0001002582
554	0.000104292
557	9.509492e-05
560	0.0001007576
563	0.0001013889
566	0.0001057834
569	0.0001078325
572	8.611251e-05
575	9.565994e-05
578	9.464225e-05
581	9.797988e-05
584	9.595897e-05
587	9.539198e-05
590	9.116681e-05
593	9.045435e-05
596	9.825852e-05
599	9.001792e-05
602	0.0001065184
605	9.499771e-05
608	8.001308e-05
611	5.992539e-05
614	6.224126e-05
617	7.298433e-05
620	8.195923e-05
623	8.222389e-05
626	8.779721e-05
629	7.740376e-05
632	8.044794e-05
635	7.455394e-05
638	6.549236e-05
641	7.44548e-05
644	6.929529e-05
647	8.762045e-05
650	7.862233e-05
653	9.448727e-05
656	7.466459e-05
659	8.440407e-05
662	6.564641e-05
665	8.068947e-05
668	6.902071e-05
671	5.411384e-05
674	4.994499e-05
677	5.192058e-05
680	7.08295e-05
683	8.078911e-05
686	0.0001109681
689	9.544327e-05
692	9.556577e-05
695	9.289576e-05
698	2.860877e-05
701	-4.997717e-06
704	-2.503772e-05
707	6.678734e-06
710	-6.927901e-06
713	-3.605393e-05
716	-5.542322e-05
719	-8.565943e-05
722	-0.0001229783
725	-9.990359e-05
728	-0.0001182131
731	-0.0001333678
734	-0.0001590651
737	-0.0001991558
740	-0.0001945328
743	-0.0002055895
746	-0.0001784544
749	-0.0001658708
752	-0.0001396901
755	-9.093794e-05
758	-9.914997e-05
761	-5.952375e-05
764	-1.576992e-05
767	3.235285e-05
770	2.30157e-05
773	4.774692e-05
776	5.941406e-05
779	7.17859e-05
782	4.94753e-05
785	3.771517e-05
788	7.716948e-05
791	0.0001088908
794	0.0001568878
797	0.0001447869
800	0.0001926769
