Wavelength (nm)	Dilution Corrected Absorbance
230	0.3595284
233	0.34383
236	0.3301667
239	0.3169142
242	0.3058236
245	0.2950566
248	0.2853314
251	0.2762624
254	0.2683339
257	0.2605259
260	0.2528277
263	0.2449233
266	0.2366581
269	0.2285643
272	0.2201538
275	0.2120618
278	0.2040633
281	0.1957462
284	0.187585
287	0.1792564
290	0.1720106
293	0.1654828
296	0.1593373
299	0.1525339
302	0.1459944
305	0.1396011
308	0.1337014
311	0.1280678
314	0.1224297
317	0.1171519
320	0.1119314
323	0.106722
326	0.101724
329	0.09708061
332	0.09255195
335	0.08834678
338	0.08426151
341	0.08025719
344	0.07648709
347	0.07288684
350	0.06949622
353	0.06613306
356	0.06290569
359	0.05996517
362	0.05701426
365	0.05423343
368	0.05156048
371	0.0489673
374	0.04643157
377	0.04407459
380	0.0419108
383	0.03988085
386	0.03785866
389	0.03587673
392	0.0340863
395	0.03232987
398	0.0308129
401	0.02933565
404	0.02790564
407	0.02651065
410	0.02516002
413	0.02385202
416	0.02264722
419	0.02155814
422	0.02050338
425	0.0196676
428	0.0188554
431	0.01802335
434	0.01726868
437	0.01659028
440	0.01586827
443	0.01519544
446	0.01450978
449	0.01389376
452	0.01333095
455	0.01284865
458	0.01243732
461	0.01204456
464	0.01165309
467	0.01131228
470	0.01097866
473	0.01063265
476	0.01028104
479	0.009887468
482	0.009579662
485	0.009279827
488	0.008965008
491	0.008662627
494	0.008429868
497	0.008155259
500	0.007865854
503	0.007625636
506	0.00741626
509	0.007213904
512	0.007012026
515	0.006802599
518	0.006593141
521	0.00640963
524	0.00624762
527	0.006097965
530	0.0059166
533	0.005788531
536	0.005606053
539	0.005474796
542	0.005342209
545	0.005236499
548	0.005092981
551	0.004968275
554	0.004869848
557	0.004771023
560	0.004692931
563	0.00459281
566	0.004497628
569	0.004410464
572	0.0043287
575	0.004231296
578	0.004174118
581	0.004095578
584	0.004038761
587	0.003970123
590	0.003929574
593	0.003844331
596	0.003784127
599	0.00369759
602	0.003618779
605	0.003570318
608	0.003510155
611	0.003464175
614	0.003405002
617	0.003384493
620	0.003347888
623	0.00327854
626	0.00320913
629	0.003134044
632	0.003095129
635	0.003063034
638	0.003024711
641	0.002983603
644	0.002941869
647	0.002895516
650	0.002874014
653	0.002827588
656	0.002770333
659	0.002740363
662	0.00272921
665	0.002696736
668	0.002705233
671	0.002672319
674	0.002644707
677	0.002635915
680	0.002567152
683	0.002496957
686	0.002483512
689	0.002440293
692	0.002435021
695	0.002423073
698	0.002423604
701	0.002402455
704	0.002462281
707	0.002436002
710	0.002377573
713	0.002286788
716	0.002153024
719	0.002049506
722	0.001977166
725	0.001997382
728	0.002031491
731	0.002091638
734	0.002128098
737	0.002106767
740	0.002046651
743	0.00202685
746	0.001989582
749	0.002018144
752	0.002029923
755	0.002038862
758	0.002060748
761	0.002054187
764	0.002053979
767	0.002071135
770	0.002003501
773	0.002057447
776	0.002042217
779	0.00206722
782	0.002042631
785	0.002012185
788	0.002010507
791	0.00200396
794	0.001984655
797	0.001986556
800	0.002003028
