Wavelength (nm)	Dilution Corrected Absorbance
230	0.2321471
233	0.2198423
236	0.2116176
239	0.203117
242	0.1958428
245	0.1887893
248	0.182823
251	0.1765422
254	0.1713016
257	0.1660567
260	0.161053
263	0.1559685
266	0.1507076
269	0.1456092
272	0.140453
275	0.1353156
278	0.1302797
281	0.124039
284	0.1197915
287	0.1149631
290	0.1101604
293	0.1054813
296	0.1010417
299	0.09674216
302	0.09258146
305	0.08850941
308	0.08478326
311	0.08125166
314	0.07769308
317	0.07436557
320	0.07103428
323	0.06774873
326	0.06451584
329	0.06153841
332	0.05861373
335	0.05592199
338	0.05328482
341	0.05068987
344	0.04827151
347	0.04596628
350	0.04377045
353	0.04163202
356	0.03957871
359	0.03769181
362	0.0358263
365	0.03407686
368	0.03231157
371	0.03065439
374	0.0290111
377	0.0275129
380	0.02611216
383	0.02481343
386	0.02350318
389	0.02229176
392	0.02114226
395	0.02001655
398	0.01906729
401	0.01814749
404	0.0171948
407	0.01630942
410	0.01545641
413	0.01462827
416	0.01388862
419	0.0131896
422	0.01252712
425	0.01203537
428	0.01146409
431	0.01092324
434	0.01045786
437	0.009999279
440	0.009521301
443	0.009063771
446	0.008594376
449	0.008210964
452	0.007921055
455	0.007612556
458	0.00741522
461	0.007127033
464	0.006857484
467	0.006598443
470	0.006371177
473	0.006140928
476	0.005884993
479	0.005642892
482	0.005454092
485	0.005224926
488	0.005037174
491	0.004796786
494	0.00464034
497	0.004482028
500	0.004259053
503	0.004131952
506	0.003933991
509	0.003855613
512	0.003731961
515	0.003609072
518	0.003468849
521	0.003377716
524	0.002588216
527	0.003152141
530	0.003052069
533	0.002965472
536	0.002862158
539	0.002801252
542	0.002701829
545	0.002615059
548	0.002586346
551	0.002511019
554	0.002442364
557	0.002353198
560	0.002313921
563	0.002270387
566	0.002216966
569	0.002161881
572	0.002116216
575	0.00208133
578	0.00202334
581	0.001948686
584	0.001914597
587	0.001920653
590	0.001903499
593	0.00182819
596	0.001862996
599	0.001837484
602	0.001754533
605	0.001744829
608	0.001712509
611	0.001666764
614	0.0016602
617	0.001628468
620	0.001611178
623	0.001605208
626	0.001608241
629	0.001539694
632	0.001505574
635	0.001512808
638	0.001515783
641	0.001501189
644	0.001454207
647	0.001409206
650	0.00138438
653	0.001379185
656	0.001360465
659	0.001349943
662	0.001314608
665	0.001329608
668	0.001301595
671	0.001273524
674	0.001349012
677	0.001309855
680	0.001272671
683	0.001277169
686	0.001277004
689	0.001197562
692	0.001105467
695	0.001169625
698	0.001205515
701	0.001360555
704	0.001318429
707	0.001348245
710	0.001331069
713	0.001173874
716	0.001062002
719	0.0009293456
722	0.0009071315
725	0.0009327479
728	0.001118141
731	0.001217344
734	0.001232713
737	0.00111775
740	0.001124413
743	0.001124016
746	0.001162573
749	0.001214169
752	0.001151765
755	0.00120566
758	0.001261124
761	0.001252808
764	0.001288231
767	0.001303773
770	0.001353259
773	0.001464606
776	0.001430291
779	0.001472613
782	0.00146928
785	0.001575117
788	0.001588531
791	0.001545849
794	0.001599618
797	0.001613237
800	0.001541553
