Wavelength (nm)	Dilution Corrected Absorbance
230	0.325571
233	0.3111344
236	0.300206
239	0.2888861
242	0.2796109
245	0.2706155
248	0.2624874
251	0.2541647
254	0.2468448
257	0.2394939
260	0.2323123
263	0.2249148
266	0.2172218
269	0.2097319
272	0.2019755
275	0.1943859
278	0.1869302
281	0.1783513
284	0.1708216
287	0.164013
290	0.1578934
293	0.1512834
296	0.1449119
299	0.1384722
302	0.1322773
305	0.1262613
308	0.1206847
311	0.1154171
314	0.1101057
317	0.1052766
320	0.1004986
323	0.09576999
326	0.09123838
329	0.0870707
332	0.08300023
335	0.07922411
338	0.07556944
341	0.07199491
344	0.06858414
347	0.06534689
350	0.06227031
353	0.0592476
356	0.05629465
359	0.0536441
362	0.05095502
365	0.04842855
368	0.04596299
371	0.0435886
374	0.04126806
377	0.03912544
380	0.03714492
383	0.03531166
386	0.03345822
389	0.03166222
392	0.03002433
395	0.02840306
398	0.02699302
401	0.02565913
404	0.02433257
407	0.02307424
410	0.02184914
413	0.02068079
416	0.01961791
419	0.01863784
422	0.0176951
425	0.01680683
428	0.01600922
431	0.01523171
434	0.01448213
437	0.01378279
440	0.01310987
443	0.01248762
446	0.01189401
449	0.01134833
452	0.01083629
455	0.01038094
458	0.009982718
461	0.009595754
464	0.009196639
467	0.008848157
470	0.008544936
473	0.008214015
476	0.007848794
479	0.007530882
482	0.007214198
485	0.006958623
488	0.006671899
491	0.006433449
494	0.006238896
497	0.006005093
500	0.005767934
503	0.005551439
506	0.005311771
509	0.005119507
512	0.004959903
515	0.004774028
518	0.004628268
521	0.004431549
524	0.004283411
527	0.004139604
530	0.004000331
533	0.00386375
536	0.00371965
539	0.003588002
542	0.003505853
545	0.003398265
548	0.003271096
551	0.003176364
554	0.003076115
557	0.003007903
560	0.002896968
563	0.002835222
566	0.002746341
569	0.002678445
572	0.002606954
575	0.002533242
578	0.002489777
581	0.002405484
584	0.002350933
587	0.00229726
590	0.002231135
593	0.002163504
596	0.0021229
599	0.002051712
602	0.002018746
605	0.001967243
608	0.001910798
611	0.001853645
614	0.001840654
617	0.00180074
620	0.001760523
623	0.001714219
626	0.001675463
629	0.00167552
632	0.001610818
635	0.001598192
638	0.001518937
641	0.001507241
644	0.001472149
647	0.001447604
650	0.001449279
653	0.001403812
656	0.001319913
659	0.001249906
662	0.001230625
665	0.001250034
668	0.001285503
671	0.001267674
674	0.001263736
677	0.001261026
680	0.001233063
683	0.001243023
686	0.001215416
689	0.001176086
692	0.001176885
695	0.00116077
698	0.001145233
701	0.001134008
704	0.001095458
707	0.001137527
710	0.001177391
713	0.001102657
716	0.001055403
719	0.001027027
722	0.001025245
725	0.001043268
728	0.001045086
731	0.001100719
734	0.00114574
737	0.001148334
740	0.001152559
743	0.001127342
746	0.001128517
749	0.001120639
752	0.001111581
755	0.001103567
758	0.001115538
761	0.001132699
764	0.001126935
767	0.001180188
770	0.001112348
773	0.001166902
776	0.001141495
779	0.001197771
782	0.001183612
785	0.001208743
788	0.001237781
791	0.001255811
794	0.001231794
797	0.00126895
800	0.001210256
