Wavelength (nm)	Dilution Corrected Absorbance
230	0.2395861
233	0.2330417
236	0.223512
239	0.2150858
242	0.2066128
245	0.1989855
248	0.1921541
251	0.1852403
254	0.1794725
257	0.1734485
260	0.1679335
263	0.1622257
266	0.156381
269	0.1509018
272	0.145183
275	0.1396593
278	0.1346382
281	0.1286871
284	0.1207089
287	0.1176708
290	0.1126974
293	0.1079949
296	0.1033794
299	0.09866242
302	0.09412943
305	0.08972156
308	0.0857045
311	0.08185292
314	0.07805124
317	0.07450537
320	0.07101383
323	0.06759914
326	0.06434152
329	0.06133501
332	0.05837736
335	0.05563192
338	0.05294563
341	0.05037713
344	0.04796093
347	0.04560988
350	0.04340226
353	0.04123215
356	0.03911557
359	0.03718897
362	0.03524804
365	0.03342938
368	0.03167965
371	0.03002362
374	0.02836299
377	0.02689707
380	0.02550883
383	0.02423257
386	0.02291495
389	0.02166925
392	0.02051411
395	0.01941697
398	0.01840541
401	0.01738697
404	0.0165321
407	0.01564792
410	0.01477372
413	0.01395981
416	0.01316107
419	0.01254974
422	0.01186324
425	0.01132072
428	0.01077835
431	0.01019604
434	0.009586018
437	0.009113932
440	0.008692111
443	0.008256928
446	0.007887534
449	0.007543029
452	0.00728523
455	0.006975223
458	0.006691324
461	0.006426389
464	0.006192767
467	0.00595781
470	0.005738379
473	0.005552599
476	0.005392658
479	0.005078409
482	0.004902063
485	0.004661024
488	0.004395374
491	0.004251995
494	0.004185992
497	0.003989322
500	0.003823236
503	0.003741209
506	0.003573712
509	0.00339598
512	0.003276554
515	0.003164455
518	0.003091584
521	0.002957982
524	0.002848488
527	0.002784447
530	0.00263764
533	0.00253444
536	0.002449167
539	0.002372032
542	0.002330351
545	0.002221377
548	0.002119722
551	0.002139688
554	0.002031011
557	0.001980781
560	0.001953419
563	0.001797105
566	0.001721978
569	0.001630593
572	0.001602934
575	0.001602057
578	0.001445711
581	0.001496176
584	0.001437354
587	0.001386856
590	0.001486088
593	0.001384308
596	0.001400641
599	0.00137201
602	0.001308703
605	0.001318018
608	0.001266266
611	0.001264933
614	0.001284847
617	0.001231388
620	0.001160938
623	0.001127225
626	0.00111785
629	0.001059271
632	0.001036676
635	0.001069492
638	0.001006664
641	0.0009601094
644	0.0009753886
647	0.000993643
650	0.0009464945
653	0.0009048756
656	0.0009201513
659	0.0008470753
662	0.0008607246
665	0.0008632739
668	0.0006403996
671	0.0008633684
674	0.0009036836
677	0.0008778772
680	0.0009230379
683	0.0007674586
686	0.0008312247
689	0.0008399035
692	0.0006760688
695	0.0007987556
698	0.000598526
701	0.0006125922
704	0.0008150164
707	0.0006293932
710	0.0006641688
713	0.0006086536
716	0.0006267997
719	0.0006710313
722	0.0006617371
725	0.0007611783
728	0.0008343573
731	0.0006323102
734	0.0001621586
737	0.0001431696
740	5.6935e-05
743	0.0004669963
746	0.00117415
749	0.001110633
752	0.001108812
755	0.001076508
758	0.001040799
761	0.0008081374
764	0.0008429386
767	0.0008095409
770	0.0007361271
773	0.0008095519
776	0.0006378005
779	0.0007179797
782	0.0007648776
785	0.0006746003
788	0.0005641216
791	0.0004756596
794	0.0004797247
797	0.0005130214
800	0.0005191738
