Wavelength (nm)	Dilution Corrected Absorbance
230	0.1086501
233	0.0972518
236	0.09164896
239	0.08742703
242	0.08413451
245	0.08119101
248	0.07871161
251	0.07591764
254	0.07359962
257	0.0712981
260	0.06907892
263	0.0667401
266	0.06439684
269	0.0620564
272	0.05967753
275	0.05736792
278	0.05502005
281	0.05246048
284	0.04995255
287	0.04760789
290	0.04534833
293	0.04319291
296	0.04117821
299	0.03914481
302	0.03717974
305	0.03520884
308	0.03342485
311	0.03180999
314	0.03026595
317	0.028886
320	0.02756042
323	0.02625878
326	0.0249994
329	0.02383323
332	0.02270947
335	0.02169991
338	0.0207384
341	0.01977248
344	0.0188231
347	0.01790723
350	0.0170961
353	0.01629658
356	0.01552018
359	0.01486668
362	0.0142266
365	0.01363895
368	0.01301582
371	0.01244261
374	0.01186787
377	0.01132563
380	0.01084647
383	0.01046894
386	0.01005485
389	0.009604535
392	0.009184748
395	0.008762373
398	0.008416212
401	0.008131581
404	0.007825038
407	0.00750733
410	0.007228532
413	0.006982968
416	0.006753012
419	0.006555591
422	0.006388049
425	0.006215914
428	0.006070694
431	0.005913306
434	0.005771386
437	0.005637055
440	0.005489713
443	0.00536728
446	0.005209593
449	0.005063612
452	0.004960205
455	0.004851504
458	0.004738527
461	0.004628672
464	0.004574383
467	0.004520811
470	0.004441354
473	0.004379586
476	0.004289778
479	0.004216586
482	0.004174031
485	0.004104707
488	0.00403701
491	0.003991028
494	0.00393294
497	0.00391645
500	0.003871549
503	0.003833566
506	0.003761051
509	0.003732619
512	0.00372959
515	0.003680805
518	0.0036221
521	0.003331212
524	0.003547509
527	0.003509369
530	0.003521339
533	0.003443537
536	0.003525367
539	0.003482354
542	0.003411629
545	0.003397339
548	0.003341989
551	0.003294222
554	0.00325963
557	0.003236797
560	0.003222332
563	0.003231083
566	0.003230053
569	0.003241097
572	0.00322774
575	0.003199542
578	0.003199355
581	0.003187573
584	0.003151963
587	0.003128264
590	0.003081255
593	0.003022856
596	0.002991748
599	0.00300505
602	0.003043421
605	0.003046929
608	0.003032233
611	0.002989041
614	0.003000405
617	0.003021445
620	0.002974431
623	0.002947751
626	0.00293854
629	0.002897501
632	0.002909494
635	0.002926844
638	0.002953597
641	0.002910034
644	0.002872692
647	0.002804911
650	0.002828103
653	0.00282603
656	0.002819871
659	0.002710313
662	0.002690792
665	0.002751635
668	0.002786521
671	0.002823357
674	0.002790136
677	0.002751905
680	0.002753349
683	0.00277313
686	0.002758416
689	0.002707324
692	0.002693512
695	0.00264276
698	0.002674184
701	0.002626737
704	0.002724933
707	0.002682468
710	0.002682631
713	0.002618028
716	0.002602876
719	0.002513416
722	0.002436747
725	0.00244915
728	0.002499342
731	0.002531675
734	0.002516994
737	0.002522419
740	0.002415241
743	0.002341264
746	0.002413696
749	0.002407793
752	0.002449255
755	0.002489435
758	0.002543526
761	0.002510078
764	0.002533957
767	0.002643061
770	0.002634871
773	0.002650778
776	0.002709054
779	0.002696392
782	0.002710698
785	0.002740396
788	0.002712947
791	0.002647463
794	0.00268034
797	0.002774562
800	0.002706369
