Wavelength (nm)	Dilution Corrected Absorbance
230	0.08200379
233	0.0738863
236	0.0705264
239	0.06756549
242	0.06492571
245	0.06289767
248	0.06089864
251	0.05895978
254	0.05706106
257	0.05518448
260	0.05332085
263	0.05129227
266	0.04919355
269	0.04707569
272	0.0448814
275	0.04287303
278	0.04079558
281	0.03885652
284	0.0358532
287	0.03518891
290	0.0336034
293	0.03206112
296	0.03067746
299	0.02921466
302	0.02781187
305	0.02643748
308	0.0251343
311	0.02392017
314	0.0226417
317	0.02148255
320	0.02036716
323	0.01924427
326	0.01818065
329	0.01721802
332	0.01628923
335	0.01543731
338	0.01461851
341	0.01383514
344	0.01310914
347	0.01240465
350	0.01176104
353	0.01114057
356	0.01053003
359	0.009994058
362	0.00946252
365	0.008948039
368	0.008435187
371	0.007977357
374	0.007510723
377	0.007103475
380	0.006711407
383	0.006337187
386	0.00598903
389	0.005656102
392	0.005360555
395	0.005043831
398	0.004785146
401	0.004535575
404	0.004311725
407	0.004071567
410	0.003844135
413	0.00367158
416	0.003482952
419	0.003292955
422	0.003137192
425	0.003004942
428	0.00285443
431	0.002765989
434	0.002669727
437	0.002559086
440	0.002449316
443	0.002349157
446	0.002257268
449	0.00220208
452	0.002158379
455	0.002130296
458	0.002074167
461	0.002023313
464	0.002007214
467	0.001965338
470	0.001885884
473	0.001824292
476	0.001787671
479	0.001729888
482	0.001668242
485	0.001629442
488	0.001593014
491	0.001563942
494	0.001480934
497	0.001429143
500	0.001424678
503	0.001363117
506	0.001364902
509	0.00134198
512	0.001329494
515	0.001270546
518	0.001254991
521	0.001233677
524	0.001217847
527	0.00123201
530	0.001227268
533	0.001113653
536	0.001184163
539	0.00114285
542	0.001116161
545	0.001124519
548	0.001099332
551	0.001133039
554	0.001102883
557	0.001079361
560	0.001088294
563	0.001079242
566	0.001076243
569	0.001072556
572	0.001047486
575	0.001048668
578	0.001060553
581	0.00101668
584	0.001070159
587	0.00104617
590	0.001062755
593	0.001023228
596	0.0010008
599	0.0009597191
602	0.001127683
605	0.001040193
608	0.001035249
611	0.001055808
614	0.001048897
617	0.001042048
620	0.001074093
623	0.001032199
626	0.0009817166
629	0.0009853658
632	0.001087861
635	0.001055743
638	0.001003333
641	0.0009877562
644	0.001042659
647	0.001095305
650	0.001040146
653	0.0009555183
656	0.001030151
659	0.00100195
662	0.000980868
665	0.0009944864
668	0.0009725471
671	0.001002029
674	0.0009472274
677	0.0009250957
680	0.000860079
683	0.0009263221
686	0.0009114627
689	0.0009269819
692	0.0009528086
695	0.0009338107
698	0.0009221935
701	0.0009331356
704	0.0009254994
707	0.0009941471
710	0.000989125
713	0.0008845771
716	0.0008394925
719	0.0008453924
722	0.000741216
725	0.0009054332
728	0.0009417601
731	0.001052292
734	0.001097827
737	0.001100483
740	0.00103426
743	0.001078417
746	0.001058452
749	0.0009774688
752	0.0009962164
755	0.001031154
758	0.001022844
761	0.001020415
764	0.001034457
767	0.0009913943
770	0.0009588181
773	0.00103277
776	0.0009513595
779	0.001089177
782	0.0009279946
785	0.001042726
788	0.001094361
791	0.0009088342
794	0.001089834
797	0.00103186
800	0.001057548
