Wavelength (nm)	Dilution Corrected Absorbance
230	0.1791749
233	0.1712238
236	0.1646478
239	0.1577536
242	0.152263
245	0.1472702
248	0.1431399
251	0.1389083
254	0.1352693
257	0.1315611
260	0.1278344
263	0.1238488
266	0.1196392
269	0.1153252
272	0.1107701
275	0.1060928
278	0.1014116
281	0.09569546
284	0.09130565
287	0.08663766
290	0.08205899
293	0.07772322
296	0.07369454
299	0.0697941
302	0.06613838
305	0.06267542
308	0.0595711
311	0.05666363
314	0.05382631
317	0.05121587
320	0.0486576
323	0.04614834
326	0.04378537
329	0.04164859
332	0.03958608
335	0.03771827
338	0.03592792
341	0.0341787
344	0.0325481
347	0.03102097
350	0.02958662
353	0.0281844
356	0.02685008
359	0.0256049
362	0.02437585
365	0.02323785
368	0.02208536
371	0.02099669
374	0.01988121
377	0.01889943
380	0.01796791
383	0.01712286
386	0.01630799
389	0.01558188
392	0.01491687
395	0.01418521
398	0.01353252
401	0.01288531
404	0.01221344
407	0.01161946
410	0.01106378
413	0.01053175
416	0.0100488
419	0.009579021
422	0.009132703
425	0.00879341
428	0.008431629
431	0.008077618
434	0.007765432
437	0.00744476
440	0.007112477
443	0.006786197
446	0.006454769
449	0.006216287
452	0.006036685
455	0.005871349
458	0.00565755
461	0.005479834
464	0.005288375
467	0.005103015
470	0.004937048
473	0.004763833
476	0.004611618
479	0.004470944
482	0.004310862
485	0.004166936
488	0.00403645
491	0.003879375
494	0.003780701
497	0.003658446
500	0.003524292
503	0.003421547
506	0.003302186
509	0.003221093
512	0.003137847
515	0.003062956
518	0.002963655
521	0.002890076
524	0.002362203
527	0.002735378
530	0.002666483
533	0.002607392
536	0.00250927
539	0.002441569
542	0.00239049
545	0.002340489
548	0.002300343
551	0.002240217
554	0.002213664
557	0.002153573
560	0.002095358
563	0.002103526
566	0.002053047
569	0.001998208
572	0.001976166
575	0.001944956
578	0.001894033
581	0.001860796
584	0.001818218
587	0.001808143
590	0.001783293
593	0.001755882
596	0.001760216
599	0.001727037
602	0.001679897
605	0.001704643
608	0.001677765
611	0.001641354
614	0.00161662
617	0.001604848
620	0.001580657
623	0.001582619
626	0.00156887
629	0.001554499
632	0.001504748
635	0.001491125
638	0.001508987
641	0.001482851
644	0.00145995
647	0.001411584
650	0.001414101
653	0.001409235
656	0.001385518
659	0.001386244
662	0.001357685
665	0.001405792
668	0.001386675
671	0.001364314
674	0.001390779
677	0.001373355
680	0.001359852
683	0.001314885
686	0.001291905
689	0.001271153
692	0.001195744
695	0.001190379
698	0.001214449
701	0.001321796
704	0.001321983
707	0.001329023
710	0.001298944
713	0.00121362
716	0.00112828
719	0.001062611
722	0.001059977
725	0.001103543
728	0.001230025
731	0.001353642
734	0.001430138
737	0.001390293
740	0.001415204
743	0.00140493
746	0.001410066
749	0.001412859
752	0.001355421
755	0.001405345
758	0.00136946
761	0.001345525
764	0.001357931
767	0.001335685
770	0.001352098
773	0.001396481
776	0.001323348
779	0.00136933
782	0.001342427
785	0.001337396
788	0.001269754
791	0.001303721
794	0.00135823
797	0.001288006
800	0.001301133
