"Wavelength..nm.","Dilution.Corrected.Absorbance"
230,2.7479
233,2.633381
236,2.538981
239,2.452841
242,2.383237
245,2.317204
248,2.26119
251,2.212329
254,2.167152
257,2.124974
260,2.084359
263,2.039371
266,1.991113
269,1.942487
272,1.88976
275,1.836904
278,1.783581
281,1.724983
284,1.666261
287,1.606181
290,1.553632
293,1.505482
296,1.461834
299,1.4116
302,1.36295
305,1.314177
308,1.268346
311,1.224101
314,1.17831
317,1.134266
320,1.08997
323,1.044872
326,1.000848
329,0.959474
332,0.9187047
335,0.8807969
338,0.8442019
341,0.808246
344,0.7742492
347,0.7425893
350,0.7124122
353,0.6828219
356,0.6541088
359,0.6281426
362,0.6018983
365,0.5772716
368,0.5532419
371,0.529762
374,0.5068048
377,0.4852244
380,0.4653522
383,0.4463972
386,0.4271642
389,0.4084111
392,0.3908293
395,0.3733152
398,0.3582348
401,0.343242
404,0.3287987
407,0.314681
410,0.3007835
413,0.2876662
416,0.2749005
419,0.2637165
422,0.2527038
425,0.2426714
428,0.2331083
431,0.2236435
434,0.2146837
437,0.20657
440,0.1986721
443,0.1907223
446,0.1839455
449,0.17732
452,0.1712258
455,0.1659474
458,0.1605183
461,0.1555951
464,0.1507039
467,0.1460469
470,0.1416318
473,0.1373793
476,0.1330279
479,0.1284941
482,0.1234051
485,0.1193055
488,0.1150921
491,0.112357
494,0.1087687
497,0.1049417
500,0.101704
503,0.09875774
506,0.09509501
509,0.09172582
512,0.08842833
515,0.08508967
518,0.08231264
521,0.07917387
524,0.07636507
527,0.07397057
530,0.07107351
533,0.06910258
536,0.06694643
539,0.0647271
542,0.06211792
545,0.06062354
548,0.05866053
551,0.05685406
554,0.05482048
557,0.05313607
560,0.05172115
563,0.05021552
566,0.04860352
569,0.04704801
572,0.0457024
575,0.04466166
578,0.04347669
581,0.04225737
584,0.04056155
587,0.03943266
590,0.03846774
593,0.03751114
596,0.03670277
599,0.03554675
602,0.03436796
605,0.03336688
608,0.03220941
611,0.03153517
614,0.03054866
617,0.02981488
620,0.02889514
623,0.02762147
626,0.02654945
629,0.02515145
632,0.02401689
635,0.02299539
638,0.02235432
641,0.02161163
644,0.02086787
647,0.02040244
650,0.01947153
653,0.01874408
656,0.01782297
659,0.01712844
662,0.01657138
665,0.01655891
668,0.01595197
671,0.01541959
674,0.01464695
677,0.01407591
680,0.01400225
683,0.01373661
686,0.0135215
689,0.01312012
692,0.01269848
695,0.01227885
698,0.0119803
701,0.01124809
704,0.01079683
707,0.01064535
710,0.00984157
713,0.008866475
716,0.008313889
719,0.007852657
722,0.007358783
725,0.006972337
728,0.006826951
731,0.007026259
734,0.00648031
737,0.005699755
740,0.005576525
743,0.005580197
746,0.005479515
749,0.006200609
752,0.005361985
755,0.005405078
758,0.006489028
761,0.006485503
764,0.00650742
767,0.007167459
770,0.007029145
773,0.007060601
776,0.007193209
779,0.006794464
782,0.007473123
785,0.007329926
788,0.007694367
791,0.008014054
794,0.008181425
797,0.007819011
800,0.00763174
