"Wavelength..nm.","Dilution.Corrected.Absorbance"
230,3.411121
233,3.269501
236,3.144851
239,3.021139
242,2.919897
245,2.824092
248,2.741978
251,2.663857
254,2.598812
257,2.534725
260,2.471318
263,2.405397
266,2.33504
269,2.265758
272,2.193134
275,2.12278
278,2.052642
281,1.979008
284,1.905712
287,1.832824
290,1.767142
293,1.70429
296,1.643285
299,1.587915
302,1.526748
305,1.466355
308,1.40969
311,1.35512
314,1.29978
317,1.247163
320,1.194416
323,1.141258
326,1.089705
329,1.041602
332,0.994416
335,0.9502395
338,0.9075649
341,0.8654626
344,0.825898
347,0.7885065
350,0.7531666
353,0.7185642
356,0.6850773
359,0.6545207
362,0.6237123
365,0.594728
368,0.5667399
371,0.5395939
374,0.5128043
377,0.4881482
380,0.4652761
383,0.443784
386,0.42209
389,0.4008005
392,0.3813491
395,0.3622735
398,0.3457299
401,0.3295309
404,0.3138676
407,0.298786
410,0.2843581
413,0.2701301
416,0.2572995
419,0.2456142
422,0.2342766
425,0.2242376
428,0.2148397
431,0.2053576
434,0.1963319
437,0.1883663
440,0.1803488
443,0.1728959
446,0.1657846
449,0.1592258
452,0.1536075
455,0.1483228
458,0.1433811
461,0.1388184
464,0.134156
467,0.1300666
470,0.12608
473,0.1219192
476,0.1177118
479,0.1132347
482,0.1095521
485,0.1060772
488,0.1025068
491,0.09955523
494,0.09670583
497,0.09308381
500,0.08947957
503,0.0815366
506,0.08314376
509,0.08058494
512,0.07792505
515,0.07545899
518,0.07311183
521,0.07063212
524,0.06840025
527,0.06616859
530,0.06400655
533,0.06209603
536,0.0601915
539,0.05831461
542,0.05665256
545,0.05501128
548,0.05346591
551,0.05199789
554,0.05056435
557,0.04921012
560,0.04796008
563,0.04669474
566,0.0455067
569,0.04416373
572,0.04320872
575,0.04202808
578,0.04094554
581,0.03978295
584,0.03891121
587,0.03833712
590,0.0375548
593,0.03697554
596,0.03625668
599,0.03532381
602,0.0345184
605,0.03382738
608,0.03303891
611,0.03230253
614,0.03147906
617,0.03087259
620,0.03016919
623,0.02955538
626,0.02902779
629,0.02855401
632,0.02802166
635,0.02741294
638,0.02673888
641,0.02610304
644,0.02554401
647,0.02489439
650,0.02425113
653,0.02366181
656,0.02336695
659,0.02295452
662,0.02259794
665,0.02223995
668,0.02199927
671,0.02162917
674,0.02127798
677,0.02060726
680,0.02059473
683,0.02001098
686,0.01983444
689,0.01921893
692,0.01860321
695,0.01827597
698,0.01807918
701,0.01818443
704,0.01902007
707,0.01870807
710,0.01799275
713,0.01650477
716,0.01516262
719,0.01420156
722,0.01426571
725,0.01520107
728,0.01634766
731,0.01706994
734,0.0171538
737,0.01704607
740,0.01661689
743,0.01629741
746,0.01583696
749,0.0156917
752,0.01526212
755,0.01500427
758,0.01504502
761,0.01496239
764,0.01467895
767,0.01464665
770,0.01484828
773,0.01495595
776,0.01478301
779,0.01486337
782,0.01506124
785,0.01496021
788,0.01476288
791,0.01466972
794,0.01485746
797,0.0142929
800,0.01427317
