"Wavelength..nm.","Dilution.Corrected.Absorbance"
230,0.06727123
233,0.06363172
236,0.06069622
239,0.05781175
242,0.05543884
245,0.05334733
248,0.051559
251,0.04985968
254,0.04822431
257,0.04628702
260,0.04435424
263,0.04234413
266,0.04037291
269,0.03856741
272,0.03677458
275,0.03514497
278,0.03358998
281,0.03205361
284,0.0298065
287,0.0292554
290,0.02794588
293,0.02671404
296,0.02548348
299,0.02427156
302,0.02305976
305,0.02191165
308,0.02082745
311,0.01977767
314,0.01870332
317,0.01771434
320,0.01673895
323,0.0157739
326,0.01485204
329,0.01401563
332,0.01322287
335,0.0125029
338,0.01179818
341,0.01111787
344,0.01048441
347,0.009893283
350,0.009339349
353,0.00879747
356,0.008275157
359,0.007827263
362,0.007356859
365,0.006921036
368,0.006494717
371,0.006091677
374,0.005720874
377,0.005387916
380,0.005073103
383,0.004773659
386,0.00448415
389,0.004202477
392,0.003953883
395,0.003721535
398,0.003510228
401,0.003320732
404,0.003142857
407,0.002966897
410,0.002787959
413,0.002622377
416,0.002469792
419,0.002361533
422,0.002246176
425,0.002156086
428,0.002049943
431,0.001949805
434,0.001869295
437,0.001806402
440,0.001705552
443,0.001629374
446,0.001552931
449,0.001513405
452,0.001461299
455,0.001407672
458,0.001388875
461,0.001363139
464,0.001334165
467,0.001304974
470,0.001264666
473,0.001232353
476,0.001178024
479,0.001128415
482,0.001102737
485,0.001061397
488,0.001037661
491,0.001012414
494,0.000988813
497,0.0009525703
500,0.0009298085
503,0.0009206893
506,0.000896147
509,0.0008561159
512,0.0008507982
515,0.0008129868
518,0.0008027595
521,0.0007845918
524,0.0007760731
527,0.000751206
530,0.0007472164
533,0.0007241324
536,0.0007182694
539,0.0007140561
542,0.0007233586
545,0.0007125817
548,0.0006894001
551,0.0006823328
554,0.0006867624
557,0.0006851594
560,0.0006705626
563,0.0006825247
566,0.0006776056
569,0.0006595571
572,0.0006659695
575,0.0006743937
578,0.0006711533
581,0.0006635589
584,0.0006596316
587,0.0006593009
590,0.0006576381
593,0.0006543968
596,0.000650544
599,0.0006587253
602,0.000648338
605,0.0006537073
608,0.0006416998
611,0.0006289992
614,0.0006354261
617,0.0006357385
620,0.0006360827
623,0.0006457418
626,0.0006333994
629,0.0006354622
632,0.0006345021
635,0.0006431105
638,0.0006296222
641,0.0006186195
644,0.0006015548
647,0.0006058144
650,0.000596944
653,0.0006042638
656,0.0006066435
659,0.0006029996
662,0.0005925661
665,0.0005925575
668,0.0006050872
671,0.0006083975
674,0.0005837102
677,0.0005796015
680,0.0005644909
683,0.0005581768
686,0.0005493158
689,0.0005572538
692,0.0005559681
695,0.0005396127
698,0.0005351339
701,0.0005499716
704,0.000570749
707,0.0005919796
710,0.000596619
713,0.0005309062
716,0.0004882677
719,0.000450882
722,0.0004340785
725,0.0004976486
728,0.0005715443
731,0.0006484699
734,0.0006799515
737,0.0006838398
740,0.0006777803
743,0.0006790254
746,0.0006772414
749,0.0006337695
752,0.0006543141
755,0.0006630107
758,0.0006286637
761,0.0005983478
764,0.0006097744
767,0.0006367483
770,0.0005998495
773,0.0006040355
776,0.0005996943
779,0.0006326637
782,0.0006154674
785,0.000585444
788,0.0005584904
791,0.0006054033
794,0.0005399415
797,0.0005650233
800,0.0005914851
