"Wavelength","X800","X797","X794","X791","X788","X785","X782","X779","X776","X773","X770","X767","X764","X761","X758","X755","X752","X749","X746","X743","X740","X737","X734","X731","X728","X725","X722","X719","X716","X713","X710","X707","X704","X701","X698","X695","X692","X689","X686","X683","X680","X677","X674","X671","X668","X665","X662","X659","X656","X653","X650","X647","X644","X641","X638","X635","X632","X629","X626","X623","X620","X617","X614","X611","X608","X605","X602","X599","X596","X593","X590","X587","X584","X581","X578","X575","X572","X569","X566","X563","X560","X557","X554","X551","X548","X545","X542","X539","X536","X533","X530","X527","X524","X521","X518","X515","X512","X509","X506","X503","X500","X497","X494","X491","X488","X485","X482","X479","X476","X473","X470","X467","X464","X461","X458","X455","X452","X449","X446","X443","X440","X437","X434","X431","X428","X425","X422","X419","X416","X413","X410","X407","X404","X401","X398","X395","X392","X389","X386","X383","X380","X377","X374","X371","X368","X365","X362","X359","X356","X353","X350","X347","X344","X341","X338","X335","X332","X329","X326","X323","X320","X317","X314","X311","X308","X305","X302","X299","X296","X293","X290","X287","X284","X281","X278","X275","X272","X269","X266","X263","X260","X257","X254","X251","X248","X245","X242","X239","X236","X233","X230"
245.598,0.0243279,-0.01334515,-0.003702902,-0.003087876,0.00018947,-0.02060957,0.01106041,0.006124908,-0.00950579,-0.00145554,0.01496135,-0.001278644,-0.005852969,-0.01285384,-0.006668818,0.0009631566,-0.0005727236,-0.004138385,-0.000682628,-0.002216269,-0.005082456,-0.006983532,0.002088941,0.00227541,0.003161376,-0.0009473109,-0.0007471732,-0.001457313,-0.001064534,0.002191855,-0.002120728,-0.0004866494,0.005344896,0.00425121,-0.008214662,-0.005081209,-0.00857555,-0.006127652,-0.01247457,-0.003013923,0.001816506,-0.008374751,-0.006576763,0.004543472,-0.002930449,0.003460713,-0.006562786,-0.005579617,-0.0004011349,0.009735954,-0.003013544,-0.002601435,-0.004087688,-0.006034608,0.0009111775,0.001775754,-0.002506836,-0.003825981,-0.002997012,-0.001863193,-0.004996192,-3.666614e-05,0.003629847,0.0007248043,0.005333488,-0.00515883,-0.005125002,0.001625584,-0.00189845,-0.004044427,-0.002308572,0.0009404042,-0.0009361367,0.0003587193,-0.001760019,-0.001056867,0.002167978,0.00308135,-0.003655921,-0.001832289,0.0008641445,-0.0005269317,-0.0009683456,-0.0005535335,-0.001064594,0.002329404,-0.0006484767,-0.001499583,-8.119813e-05,-0.003055137,0.0001672946,0.001053942,-0.001581529,-0.0002461468,-0.002174931,-0.002125348,-0.001042977,-0.0003639069,-0.002503149,-0.001636013,-0.0007844067,-0.0003180949,8.165127e-06,0.0002846033,-0.0001514078,-0.001766559,0.0001506311,-0.0001951526,-0.0004198776,-0.0004347446,-0.0004028845,0.0004749619,-0.0002250557,0.0005329746,-6.871985e-05,0.001181434,7.063025e-05,0.0005032021,-4.170308e-05,0.0005879429,-0.0004187856,-0.0005352764,-0.0004326023,0.000260246,0.0006106632,2.665136e-05,0.0006588259,-0.0004707304,-0.0022724,0.0005887487,-0.0005561082,-0.0009391245,0.0004450457,-0.0009559425,-0.0006554523,2.196089e-05,0.0001708066,0.0007439672,0.001765912,0.002063658,-0.0005183941,-0.00126816,0.001387263,-0.0001468596,0.000772324,0.0009791543,-0.0005583002,0.001122101,0.0005409653,-0.0008500833,0.001034996,0.001219197,0.0007005088,0.0007529216,-0.0009333257,0.0002435673,0.001248912,-0.002467437,0.001333273,0.002562969,0.0008882951,-7.574078e-05,0.001517966,0.0005159067,0.0004591947,0.001668533,0.002622943,0.000310875,0.002340061,0.005441737,0.002115013,0.008682319,0.006320012,0.01969462,0.01655048,0.01159145,0.01415382,0.01318304,0.0110729,0.003565875,0.01923369,0.01211963,0.03512207,0.1245043,0.5677431,1.445512,1.458509,0.1235826,-0.3687968,-0.1161691,0.9950053
247.837,-0.004599631,0.01681468,0.0003927464,-0.007593513,0.02775388,-0.005654905,0.01783554,0.02054323,0.007097378,0.0008129642,0.005447827,0.009575102,0.008923942,0.004313163,0.007174926,0.001996064,-0.002176543,-0.002527492,-0.006332556,-0.0004337492,0.001049331,-0.001359143,0.001994727,0.005146899,0.0004503373,0.0001467536,0.00204537,0.00416418,-0.003433214,0.001194068,-0.0004298639,0.007098964,-0.009639439,-0.01002571,0.006532474,-0.01272098,0.002750083,0.007564564,0.00692114,0.0003426716,-0.001342865,-0.003903326,0.00017824,-0.006104166,-0.002447938,0.003619889,-0.004318878,0.005902756,0.006939404,-0.003521928,0.004309043,0.004861882,-0.001908708,0.00643668,-0.00392679,-0.001479085,0.000781966,0.00327648,-0.003300432,0.002660999,-0.0007598795,0.003131538,-0.001163788,0.0003045547,-0.0004166011,-0.001562962,0.005197484,0.006383514,0.003810662,-0.003887375,0.002201538,0.0001941608,0.001532314,0.005477426,0.002116668,-0.002696887,-0.002329792,0.003932723,-0.001141262,-0.003319738,0.001220017,0.001799111,0.003609759,0.001322361,-0.0007918317,-0.0008084398,-0.001686752,0.0008294696,-0.0006803884,0.0008731682,0.0001956457,0.001804177,0.0001914963,0.0003386865,0.001217798,0.001589271,-0.0007508823,0.0003812715,0.002167032,0.001658756,0.0009073478,0.0006116299,0.0003065897,-0.000876345,-2.522045e-05,-9.280427e-05,0.000700813,0.0003543613,-0.0002192592,0.0001281247,0.00094412,0.0006017357,-0.0004712369,-0.000758536,-0.0004846418,0.0009845896,0.001145049,-2.712777e-05,0.001358472,0.0007232512,-0.000149754,-0.00157779,0.0009006904,0.0001149313,0.001414176,-0.0002110376,0.00171996,0.0006252855,-0.0002222772,-0.0004651518,0.001097946,0.0006530847,-0.0005928367,0.0003580546,0.0009031332,0.0004266229,0.001436693,-9.120528e-05,0.000709307,0.002136242,-6.831662e-06,0.002003553,0.0003490953,0.0008666432,0.002385585,0.001245836,0.0009936081,0.001157671,-0.0001219703,0.002047356,0.002125584,0.003077653,0.002924273,0.002723223,0.002691495,0.00289491,9.175251e-05,0.002335401,0.001461811,0.001690065,0.002676936,0.001141621,0.002629831,0.0004646192,0.003762821,0.0004014394,-0.0006361809,0.003749173,0.00425642,0.003545488,0.0102615,0.01000877,0.009405392,0.009931855,0.01917149,0.0171157,0.003936082,0.01656379,0.01572594,0.01124937,0.01831209,0.03554633,0.08489729,0.3614735,1.196022,1.565583,0.7826541,0.3664068,0.5672241,-0.5177501,1.206658
250.076,0.0008281091,-0.01941098,-0.001800814,0.04137332,-0.01600381,-0.005923059,0.0340898,-0.009049791,0.005593022,0.005055661,0.006693929,-0.01104767,0.003693929,0.01278993,0.01238862,0.001779775,-0.001540188,-0.001791317,-0.004716405,0.009846574,-0.001361119,-0.0008932279,0.005458677,-0.000597657,-0.003122412,0.0005353132,0.000972078,-0.003769785,0.00307012,-0.00572646,0.004240453,-0.01617163,0.003355401,-0.01056258,0.008627709,-0.009716699,-0.001402152,0.00761084,0.006433419,0.005306101,0.001073623,0.006889426,0.01515761,0.009567014,0.0002356148,0.00675917,0.006334645,0.005819732,0.000713648,-0.002749696,0.007225084,0.01053438,-0.004576796,0.002685418,0.001832731,-0.007657796,0.002028234,0.0008729065,0.006455345,0.006748369,0.001384379,-0.002386751,-0.003684702,0.006790721,0.003303952,0.00310244,-0.001730073,-0.001361458,0.007412966,-0.001721154,0.005717335,0.002879109,0.001599905,-0.000570667,-0.001677268,0.002279665,0.004968433,0.0001113842,0.001419166,-0.003515513,0.0003962506,-0.002528161,-0.001206761,-0.002139465,-0.003301645,0.0007053252,0.0001293927,-0.001394028,-0.002265115,0.004458082,-0.002909312,0.001736494,-0.0006977835,0.0007009245,-0.002847248,-0.0007601158,0.0005001222,-0.001142958,0.001141713,0.001258533,0.0005994242,-0.0007190088,-0.0008401534,0.0005621956,0.001100209,-0.0003765961,0.001282055,0.0008637489,-0.0006365306,-4.2402e-05,-0.0002873259,0.0007384161,0.001536482,0.0005901022,0.0002075431,0.001772896,-0.000321882,0.0001421749,0.0009929648,0.0001318174,-0.0002299316,0.0007402626,0.001376821,0.0009109826,0.001644235,0.002565163,-0.0003820379,0.0009178911,0.000580461,0.0006991253,0.000904262,0.0009491701,0.003008838,0.002945484,0.002227574,0.0009172414,0.002993297,0.001388212,-5.899063e-05,0.003813588,0.001651336,0.0009553928,-0.001354064,0.001561004,0.0002042688,0.0005204501,0.0002488048,0.003346503,0.002443448,0.000979742,0.002083009,0.003016208,-0.0008953208,0.000562688,0.001048803,0.003467713,0.004118933,0.005121603,0.00267731,-0.0003144879,0.001528783,0.003601018,0.001948323,0.007323856,0.002374693,0.003180845,0.002725229,0.001468709,0.001495661,0.00218253,0.005672459,0.009344916,0.02540385,0.02162837,0.02142892,0.01684658,0.01543091,0.004231036,0.02105499,0.01615196,0.02469249,0.09552271,0.4055675,1.160115,1.900716,1.14824,0.2174657,0.08713947,0.21529,1.434607,3.654426
252.317,-0.004840498,0.01207145,-0.05117451,-0.04706351,-0.02106836,-0.01146674,-0.02696443,-0.01021025,0.001818124,0.00987362,0.006101635,0.000107927,-0.00829863,-0.003535805,-0.01477644,-0.009470679,-0.0002210109,-0.005988074,-0.01640046,-0.003608735,-0.00534496,0.001682673,0.001242518,-0.003767334,-0.0009610346,0.0007597784,-0.004571154,-0.003887137,0.003688661,-0.00776812,0.0074466,-0.01658936,0.0005271861,-0.005234624,-0.01430441,-0.01445578,0.007954679,-0.005088958,-0.01619527,-0.008558686,-0.006872105,-0.008212126,-0.002695775,-0.01530046,-0.007481363,-0.003811627,0.0009216568,-0.0166958,-0.00740668,-0.0008507371,0.009557614,-0.006855849,-0.005612013,-0.003901543,0.0009131173,-0.004841938,-0.008243817,-0.002222314,-0.0009451644,0.001574222,-0.004808616,-0.0007495587,-0.001302147,-0.002435095,0.0007406472,-0.00264705,-0.004759458,0.004501439,-0.0004379168,-0.003898828,-0.002021871,-0.006711032,-0.005579072,-0.003576376,-0.001212933,-0.004754093,0.0007489105,-0.002596082,-0.002448306,-0.002116533,-0.002687532,-0.001277875,-0.002805849,0.0002433366,-0.003673646,-0.002264562,-0.002852451,-0.00508172,-0.002462152,-0.002591575,0.002868221,-0.000513599,0.001657536,0.0003223255,0.003556501,0.002524809,0.003025025,0.0003429434,-0.0009745093,-0.0008973946,0.0007346864,-0.0003926673,-0.0006024794,-0.001230293,-3.32131e-05,-0.001688887,-0.0008012607,-0.001007684,-0.0003348624,-0.0009092394,-0.0009504942,0.0008869883,0.0001471667,-0.001885739,-0.001131194,-0.0009506371,-0.000363859,-0.001259828,1.250568e-05,-0.001949511,0.001632227,-0.001558617,-0.000750523,0.001099066,0.002108523,0.001541665,0.0003549084,-0.001131378,0.002456194,0.001843817,-0.001329854,-0.001250979,-0.00170459,-0.0004294341,1.400468e-05,0.0002721467,0.0004115602,-0.00164902,-0.0005333419,-0.001046871,-0.0006078545,-0.0001820821,-0.0001709723,0.0008851388,-0.002523063,0.002999842,-0.0007403938,0.001281986,0.0006276691,0.0002874546,-0.001676916,0.0005362349,0.002226096,0.002419288,0.002090146,0.0006492835,0.001643805,0.0004855295,-0.0001181746,0.001121394,0.0002852943,0.002322517,-0.001110953,0.0009183284,0.0008891542,-0.003740051,0.004340091,0.004071789,0.005480095,0.01047396,0.01490805,0.01691645,0.02059526,0.01203361,0.02649255,0.01616744,0.01023311,0.01494046,0.007387475,0.02240889,0.05655889,0.2527131,0.9155552,1.573551,1.051691,0.3246166,0.0326025,-0.2946351,0.1605571,0.6283222,2.374297
254.558,-0.00708742,0.01666506,-0.02149031,0.05100577,0.001100812,-0.0002821661,0.005308485,0.01083619,0.003450487,0.007131674,-0.01239473,0.007795363,-0.003611628,0.0007958561,-0.005038796,0.01137823,0.006598111,-0.001872761,0.009093794,0.004000697,0.006831483,-0.001893848,0.004389953,0.00490519,0.0008444559,-0.002466325,-0.001161646,-0.0004262447,-0.002757945,-0.002456328,0.006180654,0.002763264,0.01591391,-0.002627989,-0.002868193,0.004734148,0.005039008,0.001904583,0.0007112938,0.024121,-0.004576042,0.00104102,0.01419157,0.0005023199,-0.01215761,0.003050077,-0.01283277,0.01017567,0.0101627,-0.0134653,-0.003966012,-0.01394389,0.001918065,0.002331735,0.002341272,0.008342486,0.001171058,-0.01034979,0.004219804,0.004121953,0.00328116,0.004003674,-0.003716069,-0.006125797,0.0008484821,0.0062387,0.003767248,-0.00211337,0.004034551,0.0007857898,5.891541e-05,0.004689516,0.006063143,0.002538705,0.002529087,0.006164326,0.001958644,0.003546354,0.0002051001,0.002170905,0.004774735,0.005429647,-8.743092e-05,0.002078266,0.0002152392,0.0002762951,0.0002823146,0.000942569,-0.001067441,0.0001885099,0.001716628,0.001308438,0.0011071,-0.001147417,0.003147748,-0.001406058,-0.001134277,0.001442761,-7.410027e-05,0.0006562503,0.0004489137,0.00215925,-0.0002597734,-0.000631921,0.000794563,0.002128006,0.0001311059,0.00108181,0.001059923,0.001025891,0.000359861,0.0009644848,0.0005225574,0.0006420165,0.000486529,0.000418578,0.001215797,0.0002142038,0.0008347151,-0.001871446,0.001134837,0.0007692913,0.000257622,0.00128902,-0.0002433802,0.002452091,0.0007460506,0.001206886,0.002678006,0.001317704,0.00248217,0.002437978,0.001951639,0.001889701,0.001486819,0.002924059,0.001854275,0.001691724,0.002704707,-0.000163295,0.001210884,0.001226297,0.001170317,0.0008921505,0.0009454319,0.003072876,0.002734355,0.002134225,0.002179244,0.0005079023,0.004301447,0.002939157,0.002734651,0.001084057,0.003490434,0.0009475245,0.003456034,0.004460093,0.001789388,0.003115268,0.001331097,0.00301007,0.002791097,0.005115031,0.004734349,0.00285072,0.004043064,0.00959937,0.008005143,0.01311044,0.01722208,0.02527982,0.01171727,0.01843514,0.01961941,0.01535805,0.04096056,0.007228455,0.04294313,0.04397741,0.229151,0.7567248,1.333239,1.318857,0.3554709,0.038893,0.06642779,0.1943691,0.2752926,1.236274,2.895809
256.8,0.01938914,-0.03251199,-0.01792866,-0.02263067,0.001910648,0.02017495,-0.01644917,-0.02781508,-0.007279093,-0.008795102,-0.005149667,-0.01349364,-0.01384553,-0.01263929,0.006617915,0.008394773,0.002850647,0.003774293,-0.00262629,0.006252995,-0.000431339,-0.0005280895,0.003621073,-0.0001977135,0.0009045518,0.001585994,-0.001182252,0.001943348,-0.004900511,0.002696555,-0.002265607,-0.01340447,-0.005595157,-0.001483989,-0.01805554,0.009292641,-0.01384089,-0.001290485,-0.006646376,-0.01314045,0.004333511,-0.008761031,0.00109972,0.004872377,0.0005824798,-0.001665387,-0.004091933,-0.001264958,-0.01164048,0.001045466,-0.006476947,-0.002048904,-0.01029063,-0.005819172,-0.001913887,0.005394454,-0.0003413239,-0.00448909,0.008389926,-0.002969017,-0.002012331,0.002109773,0.0006463971,0.0001195775,-0.003137497,0.009663569,0.001981606,-0.004574756,0.002508165,0.0009598242,0.005127785,-0.0002303973,-0.004696489,-0.001135816,-0.002374411,0.002119292,0.002003727,0.0002098796,-0.00158211,0.0003091247,-0.002534896,0.0007896367,0.0005125437,-0.0004077157,-0.002629939,-0.0008659976,-0.002333583,0.001385638,0.001529898,-0.0001352008,0.0002747923,-0.003252731,0.001744017,0.002507562,0.0001798072,-0.001949218,-0.0002706549,-0.002282532,0.002397674,5.092883e-05,0.0008599958,0.0006511156,-0.001300815,0.002503936,-0.0005380573,-0.0001108807,0.0002476218,-0.00087773,-0.0001347751,-0.0008827602,1.293316e-05,-4.924091e-05,-0.0004782269,-0.0004883715,0.000263266,0.000629936,0.001215295,-0.001361087,0.0006960313,-0.001463197,-0.0003886286,0.0002371044,-0.0006240049,-5.966882e-05,0.0006659358,-2.990538e-05,0.0005862654,-0.0004053243,-7.109762e-05,0.001638469,0.002031393,-0.001283463,-0.001475686,-0.000690072,-0.001075997,0.002635828,0.001611405,0.001196121,-0.0002869035,5.181501e-05,-0.0007146654,0.0009113067,-0.0006719637,0.001641599,0.000863645,-0.0001600306,0.001387911,0.0008620516,0.003243264,-0.0002519844,0.001645775,-3.520228e-06,-0.0001604112,0.002488602,0.002165629,0.0001003822,0.001091773,0.0004316219,0.002509208,-0.0007038431,0.004262514,0.003749826,0.004365604,0.004853936,0.0009811943,0.001172708,0.005243044,0.009187336,0.00931574,0.01538324,0.01867264,0.01961399,0.01941433,0.02204539,0.01260843,0.02243932,0.02345584,0.02763992,0.05065636,0.1261879,0.6396135,1.370097,1.229696,0.494169,0.07225357,0.07157317,0.04557587,0.07581199,-0.01314012,0.4110853,-1.656273
259.043,0.007562654,0.007386114,0.006475593,0.01534583,-0.01519898,0.01219373,0.03158414,0.01161516,-0.005035804,0.009427128,0.009365465,-0.003622247,-0.001245735,0.002195255,0.007128455,0.01027361,0.002789791,-0.0003266339,0.002476498,0.003084645,-0.001349188,0.00646667,0.0006690581,-0.0002601528,0.01616144,0.005923584,0.01217423,0.001068778,0.003920975,0.0006646156,0.005417579,-0.002582592,0.003373575,0.01469266,0.007470602,0.001668445,0.004653671,0.001396087,0.01454818,0.00611312,0.006155095,0.0106395,0.007776319,0.001978835,0.005313748,0.003527024,-0.004032175,0.008659184,0.003788284,0.004374397,0.01055109,-0.0008919949,0.001778802,0.0005662362,0.005268004,0.0002496294,0.007270936,-0.002743148,0.005138901,0.003958133,0.002211258,-0.004935439,-0.007802088,0.002606934,0.002922222,-0.0008347872,0.008624868,0.002298014,-0.008354696,0.0006616052,-0.009297292,0.006418095,0.0001596039,0.002140593,-4.67551e-05,0.00225982,-0.005262321,-0.0001132517,-0.0005869678,0.00123728,0.003499092,0.002545164,0.0002167176,0.001309326,-0.003225141,0.001842233,0.00156277,0.00119181,0.002336736,0.001899678,0.001423971,0.0009966739,-0.0008339468,0.003242522,0.0008737074,0.001432696,0.0004978759,-0.0009879191,-0.001128968,0.0006708892,0.002525647,-0.000854904,0.0005040308,0.001113894,5.54929e-05,0.0009207515,4.933098e-05,-0.0002076758,0.0003152067,0.0004179688,0.001486245,0.0002744003,0.000851223,-0.0003488455,0.0003502488,0.001444886,-0.0008895717,-0.0004282148,-0.0006192195,0.003457945,8.096996e-05,-0.0003905409,0.001378717,0.001346663,-0.0007607389,0.001274801,-0.000239147,-0.0004076161,0.0005255402,-0.0002108592,0.001078907,0.004023164,-0.0006687653,0.001844097,0.002089522,-0.0005954001,0.003220267,0.001020401,-0.002652366,0.0007648498,0.001029322,-0.0001428281,0.001662655,0.001406299,0.001805913,0.001514328,0.0034248,0.001090616,0.001567161,0.003900403,-0.0001174295,0.003160475,-0.001588897,0.00339356,0.002424731,0.002460174,0.002476717,0.002770903,0.002626736,0.003250794,0.005482007,0.001409559,0.004693056,0.003485674,0.002500765,0.0004372725,0.003939918,0.01330333,0.01007153,0.01420744,0.01507761,0.02209018,0.02302889,0.02156686,0.01528163,0.02353828,0.01828269,0.04746682,0.096391,0.443572,1.318646,1.530388,0.62455,0.1335899,0.07465638,0.008388768,-0.01876552,0.3349115,0.2694911,1.016475,3.676425
261.287,0.003153058,0.007861731,-0.02639735,0.01057334,-0.006637207,0.002254504,0.01099118,0.005587731,-0.01638443,0.01375109,0.01084853,0.02049421,0.003752872,0.01340177,-0.007022597,-0.00086612,0.02393663,0.002687698,0.004011281,-0.002744313,-0.008118952,-0.0022605,0.001016316,0.002781578,0.0002522592,0.004685258,-0.003549368,0.0006580434,-0.003771469,-0.004267377,-0.0108315,0.004087438,0.02071386,-0.001423328,-0.01431291,2.546135e-05,0.01150859,0.02524874,-0.006982774,-0.003525202,0.01412591,0.004311676,6.543239e-05,0.01140244,0.004134664,0.007107672,0.01904705,-0.003137487,0.004166172,-0.003617248,0.003708392,0.005822929,-0.0004264787,0.007284582,0.002491321,0.003697096,-0.000542501,0.00287789,0.004594398,0.005584688,-0.005033692,0.002289862,-0.002346793,-0.0001547343,0.004960696,0.001075875,0.003268944,-0.00677918,0.002120529,0.001186064,0.001088694,0.004652936,0.005985976,0.002287543,0.0001523697,-0.001228794,0.005081427,0.003054216,-0.004159957,-0.001809758,0.006717116,-0.002230363,0.001433768,-0.001461675,-0.0007465025,-0.003371611,0.003301047,0.002099962,0.002462898,0.0009352914,-7.180509e-05,-0.0001145412,0.003919282,0.0008521655,0.0003107885,0.003196631,0.00607256,-0.0009035167,0.000995245,0.001740777,0.001682931,0.0005064951,-0.0007376127,0.0003282087,0.0003832954,-0.001210084,0.001108905,0.001106957,-0.001105516,2.674557e-06,-0.0001527431,-0.0006697653,0.001462048,-0.0004703918,-0.0002475173,-0.0005506605,1.584644e-05,0.0001090479,0.001417932,0.0008640432,-0.001852298,0.0001629535,0.001067682,-0.0006207068,-0.0004980453,0.001459978,0.0005760809,0.001553503,0.0004637634,0.00341452,-0.0001581676,0.003849556,0.003081774,0.001788599,0.001893716,0,0.0005509107,0.0007024774,-7.225191e-05,0.001961824,0.000137033,0.0008803025,0.001953307,-0.0007468423,0.0003606462,0.0005591254,0.001424995,-0.0004880694,0.002927034,0.000403079,-0.0001164537,0.001445473,0.001843018,0.001823558,0.002267637,-0.0009185457,0.001650406,-0.0008277173,0.005286968,0.002934842,0.002932304,0.001206874,0.004854392,0.005623217,0.003847918,0.004082381,0.00736837,0.01159436,0.0177986,0.01443282,0.02438303,0.01931766,0.01955726,0.02773529,0.0224761,0.032586,0.0261181,0.05919692,0.2860233,0.9999012,1.548418,0.9658968,0.2151966,0.05335214,-0.01437942,0.02047164,-0.08926949,0.2481038,0.556004,-1.67532,0.8739727
263.532,-0.0174545,0.0128898,-0.007649921,0.008707798,-0.01960405,0.007489399,0.01884892,-0.02047254,-0.006703042,0.003330536,-0.02111748,0.005055513,-0.009944088,0.01445438,-0.01131943,-0.002370731,0.00197502,-0.003991059,-0.00335374,-0.0008124195,-0.006574993,0.006211893,0.001508519,0.0008358593,-0.001492941,0.004565353,-0.0004402372,0.00034045,0.001686545,0.002629305,0.005519642,0.004413508,-0.003517979,-0.005867993,0.01269427,0.003727648,-0.004578736,0.006072559,-0.0004282781,-0.0002841192,-0.01869693,-0.003553737,-0.002720294,0.008475034,0.005879594,0.006991619,-0.001340569,0.007458754,0.001553695,-0.009442876,0.0009806711,0.006423188,-0.0007661325,-0.01120108,0.01585532,-0.002201155,-0.004225294,-0.007787253,-0.000720972,-0.00084394,-0.0008933306,-0.005014418,-0.008819142,0.002980732,0.0001153089,0.001211334,-0.003630415,-0.001439138,0.004741953,0.000735964,-0.001215291,0.0004411145,0.002276094,-0.004156928,-0.00282232,0.0001591993,0.002391187,0.001915984,-0.002703777,0.0003458159,-0.001715184,-0.000667636,-0.001827833,-0.001691693,-0.0006252637,0.002818365,-0.003346758,-0.002799906,0.003064429,-0.002648186,0.001712291,-0.0006992771,0.0006828926,0.001898346,0.0008725599,0.001109622,-0.001892919,0.0003988664,0.0008446041,-0.002976671,-0.0007082061,-0.001256327,-0.0002544997,-0.0005730245,0.0001284138,0.0006514911,0.000359504,-0.001920067,-0.0005349787,-0.0004031673,0.0003030523,9.52339e-05,-0.0004109718,-0.000191767,0.0005088539,-0.0005965641,0.001029293,-0.0004624054,-0.001246938,-0.0001649058,0.003425634,-0.0006133301,-0.0005065565,-0.001521657,0.0002809794,0.002793284,0.000155199,-0.001786434,0.0003345629,0.001516779,0.0002025482,-0.00115278,0.0009663967,-0.0002675902,-2.60503e-05,0.001186019,0.001140973,0.002298522,0.002837604,-0.001145574,-0.002205169,0.0005484723,0.0005980274,-0.0002428223,-0.001350777,0.003007502,-0.001511363,5.884761e-05,0.00132928,0.001542945,-0.0007772783,0.003033041,0.001500519,0.001905933,0.00350682,-0.0009299265,0.002292691,0.003539657,-0.0002272633,0.00111096,-0.0004666139,0.004082327,0.0004917673,0.00215116,0.00596977,0.007500195,0.0107894,0.01623777,0.02259552,0.01887273,0.01813636,0.0173381,0.02109777,0.02039405,0.0268714,0.01667499,0.0565661,0.1848992,0.6419697,1.293032,1.121517,0.3130843,0.02602138,-0.001762534,-0.02735627,-0.02893985,0.2249637,-0.1670779,-0.6435907,-0.05084931,-2.200255
265.778,-0.0006719186,-0.002870128,0.01521366,0.02294144,0.01446035,0.01537395,0.0026204,-0.005864129,0.009862371,-0.00881917,0.003541028,0.008597668,0.003416024,0.008360958,0.007534041,0.003910513,0.009863736,0.006526161,0.001067114,-0.001752658,-0.001823565,0.002608264,0.001459191,0.002270441,0.002983392,-0.0001189805,-0.002959271,0.008183284,0.006913519,-0.003472598,-0.01706403,-0.0005218349,0.01826783,0.009493968,-0.0003903778,-0.01817882,-0.003868878,0.003534126,0.004189591,0.01622122,-0.00719178,0.0001201358,-0.0007881102,-0.006956127,-0.001352335,0.01487541,0.002779657,0.00304133,0.01869986,-0.002758783,0.002467305,-0.002056616,0.001986822,0.01004674,0.001203174,0.007826847,0.003585133,-0.009959761,0.0001118678,0.00925619,0.005799554,-0.004092845,-0.0001214216,0.002239857,0.006286103,0.001435571,0.003951464,0.00401668,0.007272365,-0.008380334,0.004467092,0.003694474,0.001823663,-0.005080049,0.005662889,0.001808577,-0.002699648,0.0007416771,0.004693798,0.002181019,0.002758219,0.002537248,0.003044793,0.005078819,0.001910867,0.003936718,0.002284839,0.003604477,0.001218703,-7.884239e-05,0.001873525,0.0005839489,-0.001323567,0.0007455718,-0.0001487995,0.001747781,0.002676872,-0.001336115,0.001639987,0.0009752335,-0.0002250559,-0.001462924,0.001666127,-0.0004857907,0.0005315554,0.001292436,0.001179636,0.001960367,0.001640407,0.00116463,0.0001501054,0.0003499399,1.388699e-05,0.001966456,-0.0002795349,0.002426934,0.001664031,0.001763803,0.002810541,0.002566876,0.00200697,-9.672763e-05,0.001403974,-0.0004639265,0.0008304721,0.002878714,0.001742731,-0.0006865053,0.000492128,0.00132935,0.0007792825,0.0006062114,0.001426117,0.002485812,0.0019866,0.002406235,0.001259052,0.00129604,0.001111168,0.00110886,0.001070792,-0.0001381533,0.005378329,0.0008738539,0.001687212,0.001982509,0.002181752,0.002938763,0.002659328,0.0008069821,0.003351418,0.00121753,0.003005815,0.002044328,0.003562009,0.004662115,0.00198125,0.00465302,0.002753782,0.0006929255,0.003290311,0.00373705,0.002593429,0.005310544,0.007846288,0.01169581,0.02056653,0.02340497,0.02039597,0.02465052,0.02529633,0.02072114,0.01669587,0.02913659,0.03676068,0.05262932,0.1365909,0.5391118,1.154002,1.126949,0.4652987,0.1304034,0.0368483,0.04187513,0.1111633,-0.04888861,0.01315943,-0.2838588,0.4207217,2.146862,1.354825
