"Wavelength","X800","X797","X794","X791","X788","X785","X782","X779","X776","X773","X770","X767","X764","X761","X758","X755","X752","X749","X746","X743","X740","X737","X734","X731","X728","X725","X722","X719","X716","X713","X710","X707","X704","X701","X698","X695","X692","X689","X686","X683","X680","X677","X674","X671","X668","X665","X662","X659","X656","X653","X650","X647","X644","X641","X638","X635","X632","X629","X626","X623","X620","X617","X614","X611","X608","X605","X602","X599","X596","X593","X590","X587","X584","X581","X578","X575","X572","X569","X566","X563","X560","X557","X554","X551","X548","X545","X542","X539","X536","X533","X530","X527","X524","X521","X518","X515","X512","X509","X506","X503","X500","X497","X494","X491","X488","X485","X482","X479","X476","X473","X470","X467","X464","X461","X458","X455","X452","X449","X446","X443","X440","X437","X434","X431","X428","X425","X422","X419","X416","X413","X410","X407","X404","X401","X398","X395","X392","X389","X386","X383","X380","X377","X374","X371","X368","X365","X362","X359","X356","X353","X350","X347","X344","X341","X338","X335","X332","X329","X326","X323","X320","X317","X314","X311","X308","X305","X302","X299","X296","X293","X290","X287","X284","X281","X278","X275","X272","X269","X266","X263","X260","X257","X254","X251","X248","X245","X242","X239","X236","X233","X230"
245.598,0.006716507,-0.01101993,0.003244539,-0.008651682,0.006645454,0.01703696,0.001975822,0.003986078,0.01568872,0.01538869,0.0028663,-0.0002822779,0.001148828,0.002203402,-0.0009459989,0.002619918,0.006792758,0.0009446235,-0.003362811,0.0002777713,0.0003607397,5.394335e-05,-0.0002082919,0.0005944021,0.001053566,0.00277442,0.002849445,0.0002871327,0.001555008,-0.001622398,0.001260994,0.001630895,-0.0006213154,0.002898288,0.006229051,0.004646291,-0.000787205,0.002514614,0.0007111532,-0.0006358264,0.005469638,0.002059744,0.006147629,0.003000375,0.005034602,-0.008576418,-0.003142733,0.006152302,-5.944802e-05,0.0003875052,-0.0001402813,-0.003707885,-0.00366948,0.001770444,0.0005922322,0.0007332053,0.003227723,0.003003182,0.0003645485,0.0001311804,0.001724479,0.005290212,0.001116266,0.001337597,0.004062141,0.001517427,0.003796187,0.003378646,-0.0007309226,0.0006904986,0.001659176,0.00196962,-0.0004280933,0.001013379,-0.001436216,0.004515149,-0.001490933,0.001115107,0.001511252,0.0001763849,0.001516257,0.002199307,-0.0005391154,0.0002986045,0.0007473228,0.0008479967,-0.000677979,0.001716014,7.352292e-05,0.001083658,-0.0003658601,0.0004628603,-0.0001293224,0.0008150481,-0.000551436,0.0003860658,0.0006440667,0.0009999864,0.0002952717,-0.0004453267,-0.0004691302,-0.0004133596,-6.642426e-05,0.0008819774,-0.0002255041,0.001182141,0.0003177708,0.0005654102,0.0005280926,0.0002635039,1.145582e-05,-8.74466e-05,0.0002257805,0.0002433408,0.0005138917,0.0008683405,0.0004421478,-0.0004710132,0.0006809334,0.001727077,-6.721794e-05,-0.0005924161,0.0005731481,0.0002318781,-0.0001721415,0.0009541019,-0.000383548,0.0002949112,0.0002446293,0.0004652163,0.0006456697,0.000171387,-0.0001215663,0.0007620842,-1.155965e-05,-0.0006368836,1.31449e-05,0.0003765509,-0.0001935023,0.0004007627,0.0006635909,-2.314782e-05,0.0008530754,0.0004380636,0.0004150456,0.0003300548,-6.295957e-05,6.783453e-05,0.0007065167,-0.0004434254,-0.000756237,0.0007948341,0.001498067,0.001584422,5.914124e-05,0.0002480923,7.855308e-05,9.45695e-05,0.000503604,0.001361908,0.002500021,0.001179926,0.001166325,0.001985111,0.000977456,0.001766328,0.001349595,0.001318794,0.00387195,0.0006629851,0.00663455,0.006412313,0.01064452,0.01235646,0.01877045,0.01599965,0.01913988,0.01619627,0.01834305,0.01881212,0.02280861,0.03958828,0.04739091,0.2089816,0.845479,1.90592,2.14139,0.9017533,0.3972295,0.1122019,1.846678
247.837,0.0004029711,-0.02997517,0.005736447,-0.0119675,-0.02286617,-0.0007601921,-0.01025223,-0.002767437,0.0001137026,-0.006909939,-0.01304569,-0.005050423,-0.002785139,-0.001735654,-0.006037224,-0.005190402,-0.005180107,-0.0004044994,-0.004245332,0.0004350998,-0.002361984,-0.001849702,-0.004152089,-0.002330354,-0.00204785,-0.00362712,-0.001535386,-0.0008096076,-0.003823908,-0.00295821,-0.0004835822,-0.003663501,-0.007872509,-0.002126065,-0.006574891,-0.01238215,-0.0005164736,0.0008803788,-0.008138272,-0.00157856,-0.002940519,-0.0068095,-0.001636548,-0.005414855,6.100317e-05,-0.0036955,-0.005621711,-0.007507279,-0.003450116,-0.006971739,-0.005188383,-0.003397246,-0.004806191,-0.001625,-0.002336838,-0.003066038,-0.00489677,-0.002832731,-0.006895339,-0.001035225,-0.002576783,-0.002045622,-0.001840881,0.0008686327,-0.001871183,0.000450165,-0.004047955,-0.004464616,-0.0008306867,-0.004516801,-0.001143705,-0.001577171,-0.001861015,-0.003330515,-0.000555821,-0.001329093,0.001517537,-0.0032529,-0.002220283,-0.003264744,-0.00222262,-0.003141253,-0.001911863,-0.003110866,-0.001110893,-0.002412323,-0.001047045,-0.003152161,-0.002720079,-0.0008027781,-0.0001525527,-0.001724714,-9.034062e-05,-0.00317741,-0.001693906,0.0008709625,0.0007572245,-0.001469309,-0.001323745,-0.0002753399,-0.00202085,-0.002278834,-0.000276228,-0.000161076,-0.0002900889,-0.0002135768,-0.0004433206,-0.0002654297,-0.0009454872,-0.0002228428,-0.0005004751,-0.0004169963,-0.0005926769,-0.0007184588,-0.0002108956,-0.0004566527,0.000158336,-7.036842e-05,-0.0005891447,-0.001300763,-0.0003202743,-0.001345947,-0.0008931235,-0.0002935339,-0.0008380011,-0.0007046856,-0.001179044,-0.0005010859,-0.0008184496,-0.0009184616,-0.001757644,-0.0001175417,-0.001182312,0.0001176034,0.0001446419,-0.0005682278,-0.0007518047,-0.0008282529,3.721513e-05,-0.0004698881,0.0007994959,3.46116e-05,-0.0004703103,-0.0003072449,-0.0004053821,-0.000263739,-0.0009081469,-0.0009446443,-0.0005455937,-0.00093669,-0.0005698017,-0.0002718638,-0.001053685,-0.001228757,-0.0005553783,6.908121e-05,-0.0006946517,-0.0005453331,-8.28309e-05,-7.493952e-05,-0.0009246184,0.0003236229,-3.11012e-05,0.0003048036,0.000245344,0.0007210553,0.001065722,0.001260019,-0.000531935,0.001973139,0.007492,0.004837924,0.01064299,0.009651461,0.007793816,0.01160005,0.02033102,0.01712037,0.01751962,0.01391447,0.01475582,0.03187288,0.1249851,0.6184528,1.642867,2.088402,1.084955,0.1129346,-0.0364037,-0.9906259,-1.845358
250.076,-0.03155631,0.0001967172,-0.007808654,-0.004156711,0.002392688,-0.007974961,-0.01323729,-0.006395681,-0.003885556,-0.01114848,-0.004510425,0.003376121,-0.001720366,-0.003190929,-0.003962575,0.002258434,-0.001548864,-0.002735958,0.0005729,-0.00412136,-0.0004467437,-0.006934312,0.000634452,-0.001781142,0.002935399,-0.004940283,-0.002865,-0.002479633,-0.004471994,-0.007417722,0.001763789,-0.007599294,0.002121568,-0.007081136,-0.01238601,-0.005737851,-0.01503113,-0.005578127,0.0004221141,-0.002833327,0.0006298233,0.00496422,0.006618449,-0.01038763,0.001673292,0.003642989,-0.007396453,-0.005211862,-0.004301763,-0.003038179,-0.002191776,-0.005940924,-0.00107616,-0.005804157,-0.002483379,0.0001434769,0.00411809,-0.003969318,-0.0002050029,-0.004678609,-0.004741391,-0.0001369189,-0.006102754,-0.0007894412,-0.002553409,-0.0008579296,-0.004078543,-0.004602432,-0.003326359,-0.003781062,-0.002893754,-0.003438936,-0.004346099,-0.002876092,-1.267487e-05,-0.00234971,-0.002961759,-0.00298353,0.0002064377,-0.005738963,0.0004575698,-0.002512011,-0.0002451169,-0.001486088,-0.001668527,-0.0008189472,-0.001634147,-0.0003840078,-0.002262296,-0.003298075,-0.002495872,-0.0009755896,-0.001426581,-0.001110848,-0.001069373,0.0003493221,-0.000978527,-0.001067866,-0.0007882635,0.0001797045,-0.0009956882,-0.0004966074,0.0001997298,-0.001003074,0.0005285948,0.0001127911,-0.0008917276,0.0002267961,-0.0003523891,-0.0008925668,-0.0001157449,-0.0006102009,-0.000561685,0.0006651078,2.633906e-05,-0.0002794012,-0.0009806703,-0.0006119909,-0.001058263,-0.0009686689,-0.0009686382,-0.0002088578,-0.0006605717,-0.0006935458,-0.001074378,0.0001063783,-0.0002508836,-0.0005625369,-0.0005454294,0.0001610004,-0.0005515992,-0.0004402153,-0.001145778,0.0004887357,-0.001847316,-0.000898503,-0.0008252622,-8.065253e-05,-0.0004145173,0.0005176992,0.0008684407,-0.000600713,0.0001529424,0.0008862065,0.0004062278,0.00101034,-0.00206133,-0.0002090438,-0.0005928458,0.0001234275,0.000193546,-0.001226508,0.0003013736,-0.0005141145,0.0007342919,0.0008030411,0.0003675982,-3.936458e-05,0.00114067,-0.0003355314,-0.0003821784,-0.0008041091,0.0006011792,0.001437942,-0.0002593061,0.002698964,0.000899343,0.002282337,0.002387834,0.002747879,0.009420949,0.01424168,0.01267254,0.0162914,0.01158666,0.01833365,0.02294474,0.02691997,0.0287699,0.02327813,0.05097324,0.07976043,0.5933542,1.884168,2.560804,1.629408,0.3646499,-0.007689811,-0.4875369,-0.01646046,-0.8342566
252.317,0.006119451,0.001477012,-0.009013394,-5.436905e-05,0.003190023,-0.00244203,-0.004772223,-0.0005358274,-0.009005833,-0.008915855,-0.0005264333,0.002547866,-0.002677893,5.667755e-05,0.008325235,0.003694986,0.001628042,0.006003959,-0.002379601,0.0004462347,0.002401939,-0.0006682122,9.204491e-05,-0.001268838,0.00178419,-0.001576512,0.00146086,0.0001053777,-0.0007507744,0.0002731396,-0.002668402,0.0001408083,0.008756215,0.01012454,0.005183244,0.003514834,0.002608663,0.004275452,0.007128392,0.005151672,0.0006659906,-0.007796744,-0.002913311,0.002923261,0.003780391,-0.004651255,0.006406595,-0.004259347,-0.001624943,0.003515489,-0.001194018,0.0009673487,-0.001191661,0.002879129,0.001218283,0.001891274,0.001515073,-0.003385704,0.003043104,0.000563448,0.002208857,0.0006009948,0.004602397,-6.312836e-05,-0.004590751,-0.002150496,0.001651025,0.005139858,-0.0001018193,-0.0005232815,-0.005595131,3.344001e-05,0.0004278195,-0.001411077,0.0008419512,0.002828239,6.504007e-05,-0.002454771,0.0005964197,-0.001128489,0.001697949,6.688768e-05,-0.001132996,0.0004287417,-0.001472966,0.00190478,0.000218195,-0.0001577774,-0.0001047181,-0.0002403735,0.0006745604,0.0007487971,0.00234126,0.00063871,0.0005754156,0.001985246,2.11603e-05,0.001158803,-0.0005029109,0.001921009,0.0002893698,-0.0001343931,-0.0004102076,4.243188e-05,0.0001387504,-0.001038759,0.0003145003,0.0008831276,2.812072e-05,-9.801841e-05,0.0002310617,0.001164733,0.0002342779,0.0001387214,0.0004466656,0.000612989,0.0005377919,-0.0003164283,-0.0002254811,0.0005443637,0.001187764,-0.0005360438,-0.0007097403,-0.001504854,-0.001152846,-0.0006691864,-0.0005108416,0.001265418,0.0007896873,0.001066907,0.0007975425,0.0003090185,-0.000739726,-0.0006529095,-0.0001296161,-0.0009157668,-7.40298e-05,-3.579185e-05,0.001661703,0.0009068624,0.0003140757,0.001443398,0.0003798827,-0.0006334867,-0.0006198955,0.0007062912,0.0004679369,0.0009407081,-3.362746e-06,0.0008545734,0.0009726336,0.0009275063,-4.929106e-05,0.0009383129,0.0005079657,0.000476724,0.002574868,0.0006402698,0.002296588,0.001511822,0.001126498,0.0008867637,0.003111099,-0.0004079622,0.001781696,0.002540602,0.0006332475,0.003013723,0.002728466,0.008601301,0.01069171,0.01445923,0.01767093,0.01896273,0.02600076,0.02238985,0.0226696,0.02318134,0.0227279,0.0430804,0.07789419,0.4230463,1.432188,2.403074,1.836852,0.5218499,0.03125387,0.1904133,-0.2587854,-0.3672767,3.547207
254.558,-0.009371315,0.001872459,0.01740479,0.0002095661,-0.02147664,-0.001320838,-0.003349616,-0.0003739699,0.0004371893,-0.002596161,0.0140466,0.002824697,-0.01101705,0.003985568,-0.001608821,0.008431874,0.0057756,0.007792262,-2.890913e-05,0.001215308,0.0007151087,-0.0007016136,0.00108289,0.001827555,0.0006045105,-0.000392404,0.001390999,0.001107774,0.004466748,-0.001403999,0.005363626,-0.002725848,-3.029664e-05,-0.008482898,0.01151287,0.007087409,-0.002629416,-0.0003742664,-0.001538486,-0.003745939,0.008807746,0.0006778968,-0.004473093,7.824657e-05,0.002204661,-0.002393732,0.00829613,0.001837519,0.0032813,0.005326204,-0.005871574,0.003215179,0.007678699,-0.001818173,-0.002938497,-0.0045824,-0.001803655,8.739242e-06,-8.649582e-06,-0.001250263,0.002581398,0.002063384,-0.003288118,0.002800471,0.001903949,0.002419411,-0.003706357,-0.003810443,-0.001985959,0.003893249,0.0003326469,0.001987635,0.002354508,0.001714488,4.923374e-05,0.001810823,0.001945064,-0.002482772,-0.001003221,-0.0001336483,0.003391637,-0.001407984,0.004056838,0.0002922723,-0.001857975,-0.001471718,0.002122497,0.001694023,0.001007996,-0.0001127558,0.001665412,-0.000772591,-0.0005295488,0.0007419649,-0.0009415977,0.0008185408,0.0008025896,-0.001104639,-0.001188495,0.0001599991,-0.0003579164,-0.001438541,0.0008577105,-4.192925e-05,0.0004141727,0.0008119688,-0.001346159,0.001004445,0.0003904288,-0.0003389995,0.0003673534,-0.0004472255,-0.0004876533,-0.001015935,-0.0001199202,0.0001555572,-2.527625e-05,-0.0002503729,0.0006030552,0.000623378,0.0004365913,-0.0001558154,-0.00024609,0.001222165,0.0006676138,-0.0001639358,-0.00104939,-0.001051387,0.0002837241,-0.0007296834,0.001697041,0.0004489648,-0.001164798,0.0005295844,-0.0004215886,0.002305781,0.0005777839,0.001476679,-0.001092581,0.0007729785,-0.000312031,4.742861e-05,0.0002351494,0.0007930424,0.000350772,0.00177745,-0.0006593507,0.0005778032,0.000721348,0.0009230884,0.0006589996,-0.0004156364,0.001171536,9.91061e-05,0.001234472,0.001408962,-0.0004672105,0.00123407,0.001167392,0.002180223,0.00157503,0.00443791,0.002966114,0.002921425,0.003718665,0.003198137,0.003892547,0.006078396,0.006120365,0.01249399,0.01313306,0.01899886,0.01967928,0.01654199,0.02731982,0.02533692,0.02980359,0.02680965,0.03442153,0.07317729,0.2536002,1.104731,2.114973,1.906249,0.6758635,0.09795361,0.03496976,-0.0553093,0.1299884,1.452281,-2.749319
256.8,0.0005627679,-0.002558957,-0.01580647,-0.02191142,-0.02254547,-0.01934447,-0.0110215,-0.01560152,0.0005828286,-0.019827,-0.001917129,-0.009034515,-0.0002049201,-0.01700382,-0.007262465,-0.01040957,-0.01192319,-0.008184882,-0.007507039,-0.002279824,-0.003885343,-0.007174817,-0.003905991,-0.000707791,-0.003726445,-0.00335659,-0.004215404,-0.0007106703,-0.0002754921,-0.006186541,-0.01008954,-0.007325124,-0.009896636,-0.007436516,-0.01041176,-0.01367196,-0.00481511,-0.005175541,-0.00832365,-0.004260317,-0.007560505,-0.009722615,-0.00270038,-0.007247797,-0.005587674,-0.003344835,-0.009934788,-0.007866628,-0.01184109,-0.005014462,-0.001158348,-0.006119551,-0.008006707,-0.004921745,-0.003813042,-0.003921523,-0.01067799,-0.005868043,-0.00372904,-0.001219107,-0.005640673,-0.002262714,-0.007126896,-0.001642661,-0.003708564,-0.001666658,0.0008773173,-0.000849464,-0.003919629,-0.0001896261,-0.005189738,-0.002008331,-0.001528698,-0.003013723,-0.003889548,-0.002972278,-0.000416737,-0.000994134,-0.003215038,-0.004030859,-0.002698975,0.00126779,-0.002397364,-0.001735008,-0.0005837503,-0.001216549,-0.004287197,0.0001361824,-0.001935993,-0.00308444,-0.0007034999,-0.003076675,-0.002377181,-0.001403182,-0.001376228,0.0006923714,-0.001197686,-0.002075728,-0.0009526154,-0.002298158,-0.001300035,-0.00115665,-0.0005812034,-0.001179552,-0.0012321,-0.000273728,-0.001148992,-0.0007847935,-5.714982e-05,-0.001007988,-0.001053398,-0.0005095809,-0.0005959316,-6.152435e-05,7.038742e-05,-0.0007143361,-0.0003155416,-2.437533e-05,-0.0007904815,-0.00127588,-0.001200564,-0.001456075,-0.0006641956,0.0006474747,-0.0003020939,-0.0002799743,-0.0001739992,-0.001533737,-0.001706651,-0.0017084,-0.001886745,-0.002193538,-0.001042207,-0.001549223,-0.001368783,-0.0006239872,-0.001529441,-0.0002120817,-0.0005659336,-0.0008639238,-0.001627464,-0.001018571,-0.001724427,-0.0002862355,-0.001764866,-0.0004162574,-0.0007488751,-0.001689904,-0.002099758,-0.001217449,-0.0008206725,-0.000174842,-0.001198001,-0.0007151928,0.0006557585,8.34406e-05,-0.0003911711,-0.001391946,-0.001104062,-0.0006397138,0.0009626388,0.000137841,0.0003340202,0.0005138187,-0.002358839,0.00101443,0.002555848,0.005922689,0.007225791,0.01015424,0.0175661,0.0176697,0.01903103,0.01851891,0.01305894,0.01768459,0.01731013,0.01849908,0.04590988,0.1704024,0.8085083,1.874208,2.015486,0.8387451,0.1044461,0.02085051,-0.09142088,-0.1578707,-0.5251395,0.6403924,-4.708044
259.043,0.02184824,0.008291068,0.0005709363,0.01588516,-0.01170933,-0.008116539,0.00590762,0.011941,0.01792909,-0.002873639,0.005218211,0.006719441,0.001802706,0.0005820104,0.005127054,0.002612143,0.004723883,0.00382817,0.005308986,0.003086811,0.002491674,0.003050332,0.001707665,0.001855904,0.002327402,0.001873168,0.0009271248,0.005211525,-0.00143704,0.005454881,-0.002431773,0.006018797,-0.001721448,0.007227003,0.0007393973,0.002260668,0.01297481,-0.001783786,0.003721817,0.00451218,-0.002698283,0.002436607,-0.005585317,-0.003051433,0.002170173,0.0004140569,-0.001058075,0.003983311,0.008652837,0.004054701,0.006476457,0.004552652,-0.003246428,0.002135574,0.005189156,0.004084305,0.008308869,0.004448975,0.002300438,0.0005068757,0.00100468,0.0004557581,0.001633673,0.007053873,0.0008298617,0.001803571,0.002860209,-0.0007287551,0.0003802601,0.003159133,0.001813253,0.002870476,0.001603558,0.005371123,0.003847255,0.0003611705,0.001644582,0.004386307,0.003568316,0.004112506,0.001295628,-0.000297466,-0.000789526,0.0009503344,-0.003501592,0.002657186,0.0009845153,0.0005048286,0.00233244,0.002332802,0.0007573493,0.0002813731,0.0003037805,-0.0005801982,0.0008273113,0.002738094,0.001019642,0.002622776,0.00151438,0.00103327,0.001168183,5.726275e-05,0.001369725,8.81647e-05,0.0005091938,0.00227237,0.0007249096,0.0007760703,0.0006654125,0.0003184694,-6.669281e-05,0.0003797081,0.0001995937,0.0002607266,-0.0002491446,0.0003307473,-0.0007285704,-0.0006641387,0.0005124471,-0.0008275142,0.0008163996,0.001469067,-0.0008947888,-0.0003088766,0.001662691,0.0009042198,0.0004434854,0.0005521779,0.001248062,-8.993107e-05,0.000936851,0.0005221611,0.00163042,0.001281769,0.0009103169,0.001536463,0.001354152,6.022619e-05,0.0001207871,0.001251401,0.0005564845,-0.00166788,0.0005451614,0.0009121161,0.001612539,0.001902141,0.0001674545,0.0007846891,0.0007372904,0.0003965094,-0.0003452246,-4.913907e-05,0.001192261,-0.0003809223,0.001480854,0.001760108,0.002923054,0.002422225,0.00236705,0.001166151,0.002960846,0.003439324,0.001365243,0.003125543,0.002493378,0.004937435,0.00524207,0.00974493,0.01842751,0.01854355,0.0176081,0.02068656,0.01886318,0.02673849,0.02509007,0.03629599,0.03820202,0.05227248,0.1080929,0.6041572,1.781117,2.164635,1.120798,0.236522,0.1028487,0.03290772,0.07165588,0.2122639,-0.004304191,1.060679,0.4922324
261.287,-0.01055011,-0.0004693555,-0.01355874,-0.003541138,-0.01756116,0.0006051535,-0.006534521,-0.006144966,-0.003690946,-0.004075611,-0.007986283,-0.003260362,-0.004384672,-0.004306794,-0.006581114,-0.005314093,0.0009355605,-0.004827602,-0.005769496,0.002257315,-0.00885218,-0.004690251,-0.0008448651,-0.0007707609,-0.0001781612,-0.000391974,-0.004349596,-0.003197506,-0.0001240286,-0.002584099,-0.002753569,0.001605082,-0.003249355,-0.01015998,-0.0191093,-0.01919126,0.001208388,-0.007352093,-0.004037719,-0.002605293,-0.002340755,-0.007663797,0.002703798,-0.003530788,0.005278834,-0.002455008,-0.007590793,-0.003745632,-0.002024045,-0.005706828,0.001161091,-0.0008720182,-0.005861395,-0.002063423,0.00188375,-0.004730974,-0.008069049,-0.006535995,0.001057327,0.00177007,0.001355393,-0.001939716,-0.004469092,-0.004861084,-0.001224792,-0.0002020989,-0.001489963,-0.003474074,-0.002014551,-0.004498517,0.002353163,-0.005007196,-0.001424241,-0.0007837335,-0.003399081,-0.002516271,-0.001717488,-0.001288484,0.0002587515,-0.004473454,-0.001678497,-0.002489134,-0.0006004831,0.0005124685,0.0004342395,-0.002299993,-0.001185871,-0.00318147,-0.003157707,-0.002224384,-0.001173741,-0.003043679,-0.00158075,-0.0008419655,-0.0005253192,0.00154364,-0.001140573,-0.002304462,-0.0001469032,-0.000187453,-0.001004374,-0.001096885,-0.0005255343,-0.001356521,0.000572889,-3.648608e-05,-0.0007390793,-0.000673449,-0.000917852,-0.001272811,0.0003729181,-0.0007893482,-0.000322791,-0.0004433638,-0.0002282912,-0.0004063791,-0.001215892,0.0001545705,-0.001216867,-0.0006654242,0.0001850965,-0.0007759147,-0.0007612781,-0.0004310273,-0.002343378,-0.0007909919,-6.308206e-05,0.0004431345,-0.000640706,-0.001441393,-0.00140188,-0.001161251,-0.0005952002,-0.001386453,-0.001037044,0.0002929906,-0.002336927,-0.0003934584,-0.001510917,-0.0008124879,-0.0001279307,0.0009535584,-0.0001996962,0.000272912,-0.0005642755,-0.000341815,-0.0002988337,-0.0005499203,0.0003483494,-0.0003808584,0.0001393486,0.0005135431,-0.0004198497,0.0003475367,-0.0008266377,0.0007258979,0.0003917509,0.001672053,-0.0005369962,0.000525664,1.718312e-05,0.001317543,0.00159298,0.001050014,0.0008529712,0.003540812,0.006059519,0.01159155,0.01423515,0.01146355,0.01494761,0.01998873,0.02076993,0.02365965,0.02104331,0.02669851,0.0472511,0.065172,0.4010229,1.390326,2.123572,1.412141,0.3042844,0.06841903,-0.01334129,-0.0180904,-0.02998677,-0.1566029,-0.2643172,-0.8516088,-4.349638
263.532,0.005218752,0.001712448,0.001645115,-0.01228224,-0.00492076,-0.002222602,0.01643508,-0.01343516,-0.00887056,-0.001319939,-0.00535677,-0.002518084,-0.0060131,-0.002184666,-0.0007494884,0.01003024,-0.001377266,0.002070231,0.001911978,0.005534457,0.003447776,0.001426962,0.000937467,-0.002466239,-0.001641007,-0.0009150929,-0.0001888089,-0.001351784,-0.001927999,-0.001386891,0.003273815,0.006084803,0.002721673,-0.001951434,-0.0167703,-0.004748776,-0.004332915,0.007024742,0.0007838162,-0.0007087601,0.0008729901,-0.008118519,-0.004247806,-0.002241318,-0.004828056,0.0009065219,0.006381413,0.003068375,0.00103778,0.006310762,-0.001313746,-0.001483517,0.002112111,0.002295473,-0.0005905974,-0.001025428,-0.00446962,0.0003833482,0.00577909,0.004786012,-0.001344137,-0.0001471309,-0.002765363,0.004195581,0.001477073,0.0005834033,-0.0008534867,-0.001499037,-0.0007554715,0.001467906,-2.15877e-05,0.002651306,0.0004356991,0.0009790026,0.002142121,-0.002488289,0.000325975,0.0005928273,0.001891636,-0.002270628,-0.0001727472,-0.0005381559,6.455778e-05,0.0003240129,0.0002604443,0.0001917293,-0.001651592,7.351675e-05,0.001422751,0.001892861,-0.001063458,0.002487616,-0.000120738,-0.001683675,3.30804e-06,-0.002594886,-0.0001605668,-0.0002283615,0.001185359,-0.000561142,-0.0002591803,0.001190665,-0.0002420118,-8.498529e-05,-0.0004975174,-0.0004099581,0.0003005586,-0.0008124063,-0.0002911331,-0.0001211921,0.0003127585,-0.0002704792,4.200502e-05,0.0001130746,-0.0002744027,-5.031352e-05,-3.358907e-05,-0.0007355986,-0.0004418605,0.0009219384,-0.0008416353,3.803365e-05,0.000171444,0.0005583924,0.001151194,0.000567269,0.0007209692,-8.247353e-05,0.001681366,0.001496298,1.274343e-05,0.0001092586,-0.001889106,-0.0003597725,-0.0004005805,-0.0007658779,0.001187709,-0.0007748762,-0.0008441348,-0.0007647071,-0.0004232715,-0.0005400024,0.0004357493,-0.0002105027,-0.001330635,0.001399824,-0.0005324539,-0.0001055524,-0.00016809,9.410009e-05,-0.0008235932,-0.0001304854,0.002542532,0.002647288,0.0006314428,0.002754369,0.001288427,0.001666794,0.002506247,0.0001718001,0.003390788,0.001068386,0.001921118,0.001614291,0.003271193,0.006132856,0.01144624,0.01491734,0.01885058,0.01694011,0.02321457,0.02258328,0.02316277,0.0257731,0.03148542,0.04133207,0.05532737,0.2778133,1.118441,2.149171,1.617481,0.5086494,0.09416951,0.03360949,0.0215221,0.04218706,-0.01589034,0.2411879,0.1960598,1.55182,-2.245575
265.778,-0.0009773174,-0.01557327,-0.01491482,0.001920632,-0.01567955,0.003982624,-0.006025642,0.005259606,-0.003430861,-0.01515377,0.001970905,-0.006740063,-0.004353289,-0.0004552845,0.007580853,-0.007849962,-0.005591707,-0.0001849173,-0.003791898,-0.006505883,-0.0001685576,-0.001794815,0.0001703695,-0.003389328,-0.002829461,-0.004516634,-0.00174267,-0.003824591,0.0005998069,-0.00298992,-0.0001826065,0.004609244,-0.007620759,-0.002229101,-0.009463121,-0.004029454,-0.00445775,0.0006949719,-0.005214516,-0.001070224,-0.003138661,-0.003650239,-0.005374569,-0.000192423,-0.002031175,-0.01172033,0.003566379,-0.0067285,0.005146721,-0.0007628849,-0.002383235,-0.002787393,-0.003723013,0.0009382047,-0.002384939,-0.007307415,-0.005807757,-0.001355949,-0.005788893,-0.001182379,-0.001217505,-0.002955636,-0.002786105,-0.005714982,-0.0003675089,-0.004977858,-0.001651804,-0.004749614,-0.0001006154,0.002240527,-0.003562586,-0.0009325018,-0.002391265,0.001281404,0.001194566,0.001679655,-0.001216454,-0.003578302,-0.003330753,-0.002637052,0.003622431,0.001533808,-0.00445188,-0.001859963,-0.0004052208,-0.001076743,-0.001240606,-0.0001301355,-0.002957649,-0.0006491098,-0.001221857,0.0004803543,-0.0016755,-0.0004969983,-0.001510464,-0.0005613943,0.001653626,0.000478473,0.0002728503,-0.001733418,0.0004321788,-0.002076351,-0.0006591058,-0.0002714827,-0.001108434,-0.0006136405,-0.0006985123,-0.000101001,-0.0001435291,-2.944397e-06,-0.0002437701,0,-0.0001529153,-0.0004927564,-0.0004246053,-0.0006658289,-0.0003262242,-9.388817e-05,0.0002170544,0.000645607,-0.0002519301,-0.0005980273,0.0003685559,0.0003254523,0.0003973709,-0.0003153333,-0.0001240353,-0.0002625298,0.0001539144,-0.0003142835,-0.0007623163,-0.0005577058,-0.0004929826,-0.00250334,0.0005854377,-8.552853e-05,-0.0002135146,-0.0008078634,0.00123899,0.000707377,0.001125445,9.041824e-05,0.000696217,0.001604261,-0.0001933831,-0.0006437127,6.910964e-06,-0.0006534852,0.0006519334,-0.000731364,0.0007081932,-0.0003971838,0.0008949777,0.0006124289,0.0004734695,-0.0007705404,0.0009844247,0.002301288,0.001741751,0.001953387,0.0007547882,0.003286023,-0.0002544466,0.001896489,0.006160521,0.007803315,0.01485891,0.01779688,0.01931778,0.0190244,0.02345828,0.0258948,0.02718688,0.03228584,0.02600035,0.04776523,0.1703156,0.8389643,1.769965,1.771495,0.6765003,0.1079559,0.0390415,0.01678773,-0.02358509,-0.01679788,-0.008321329,-0.1358311,0.1750029,-0.5438386,-0.5580683
