Wavelength_nm,Dilution_Corrected_Absorbance
791,6.6060353773057e-4
788,6.6305045684756e-4
785,7.5934513868552e-4
782,7.5889599944139e-4
779,7.5406302275345e-4
776,7.5589259346664e-4
773,7.2344011507881e-4
770,7.4343144934679e-4
767,7.2946931635437e-4
764,7.4317530256728e-4
761,7.6808292264647e-4
758,7.5367489566837e-4
755,7.8817703496552e-4
752,7.8351032558387e-4
749,7.3898782740971e-4
746,7.353956262594e-4
743,7.3083955023793e-4
740,7.7122929446212e-4
737,7.9208873310995e-4
734,7.8328747345339e-4
731,7.666313072237e-4
728,7.2099037491023e-4
725,6.3932592654626e-4
722,5.6504888680421e-4
719,5.7727309883497e-4
716,6.2151479267737e-4
713,6.6306069698993e-4
710,7.5931164120429e-4
707,8.1558716766035e-4
704,7.8188102330634e-4
701,7.5403169579608e-4
698,7.0705654894062e-4
695,7.2103041113899e-4
692,7.2093012601081e-4
689,7.8041066045504e-4
686,7.7053135632895e-4
683,8.0529434651656e-4
680,8.1832346362904e-4
677,7.9648903479522e-4
674,7.9230716414061e-4
671,8.0326321202089e-4
668,8.4228763377925e-4
665,8.6706294533844e-4
662,8.6137583972607e-4
659,9.0676096785825e-4
656,8.7450731526547e-4
653,8.7959492804599e-4
650,8.9571428472876e-4
647,9.102950913662e-4
644,8.9775956072971e-4
641,8.9240354305778e-4
638,9.0559649961437e-4
635,9.3185855411397e-4
632,9.2249580690424e-4
629,9.4014156088657e-4
626,9.6018872390844e-4
623,9.6401753450463e-4
620,9.6869477444017e-4
617,9.6894278837063e-4
614,9.713595499025e-4
611,9.8760265027543e-4
608,9.8982521954228e-4
605,0.00100690188230086
602,0.00102579068231499
599,0.00102912753960144
596,0.00104477666652556
593,0.00107213290533174
590,0.00110032475249595
587,0.00108402004624734
584,0.00106868349671991
581,0.00110159456479132
578,0.00112761516880818
575,0.00111135701531763
572,0.00110911589331856
569,0.00112773939189931
566,0.00114553759036599
563,0.00115673594185282
560,0.00117987139194036
557,0.00120794432397266
554,0.00124614312385041
551,0.00100198390029823
548,0.00132178158028362
545,0.00132437563252699
542,0.00136510681522249
539,0.00140216552026727
536,0.00141357876077694
533,0.00144515385354469
530,0.0014887663411238
527,0.00154539256539432
524,0.00156916791449195
521,0.0016221952406627201
518,0.00165276522566027
515,0.00173430588479083
512,0.00179856178067454
509,0.00184072989604174
506,0.00192390859454727
503,0.00199741103295358
500,0.00205721256869696
497,0.00213669310408419
494,0.00218896920338638
491,0.00226850807476425
488,0.0023535345468298
485,0.00246276946451732
482,0.00254590183948974
479,0.00265560941934191
476,0.00275177652699754
473,0.00285154777635903
470,0.00297767291076554
467,0.00311703345945974
464,0.00322808819841393
461,0.00334360518657835
458,0.00344737858094991
455,0.00357545145953858
452,0.0036930060133092
449,0.00386447904457179
446,0.0040394185122821
443,0.00421915454154816
440,0.00447640983850239
437,0.00467792799811705
434,0.00489243268955658
431,0.00514569616419385
428,0.00539062797206937
425,0.00565530611066633
422,0.00595421817281541
419,0.00627552257083724
416,0.00661414660286059
413,0.00698046827047722
410,0.00740935595458182
407,0.00780349397297284
404,0.0082269552241347
401,0.00867253942605776
398,0.00915934769990049
395,0.00965321612642338
392,0.0102597471669861
389,0.0108512987618455
386,0.011497273207258
383,0.0121764391891463
380,0.012895976769532
377,0.0136249894218733
374,0.0144471161457033
371,0.0153805599814514
368,0.0163060178232544
365,0.0172802695064178
362,0.0182964287973338
359,0.0193635855395668
356,0.020415318929337
353,0.0215896795525737
350,0.0228161061334155
347,0.0240813652656912
344,0.0253984577312319
341,0.0268528258949404
338,0.0283405154810315
335,0.0298736193824903
332,0.03149452953557
329,0.0332165443133774
326,0.0350005898692263
323,0.0369339600055248
320,0.0389769990658854
317,0.0410362670580582
314,0.0431917695231725
311,0.0455443226802507
308,0.0479232320608178
305,0.0504897063086404
302,0.0533806659088049
299,0.0562862622502746
296,0.0593280526498803
293,0.0623909323270422
290,0.0647760656941182
287,0.0687922923009573
284,0.0722079603836719
281,0.0758146034379906
278,0.0795429704572006
275,0.0829902949059236
272,0.0864116748043091
269,0.0899329870033146
266,0.0932837163216207
263,0.0967391926057628
260,0.0999949041357225
257,0.103120149882703
254,0.106365596948216
251,0.109541161194853
248,0.112782464150485
245,0.116278486121644
242,0.120523097177801
239,0.124534282790483
236,0.130157312439783
233,0.136944023781334
230,0.152937624797766
