"","QAQC_flag","FE_2_Conc_Final","FE_3_Conc_Final","FE_tot_Conc_Final","ID_full","Run_notes"
"1","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe2 Chk Std 9 out of range",22.0179857669257,0,22.0179857669257,"Plate1_1_C_H3_20250131","Standard curve was better on 20260218, so used that curve instead of the one ran on 20260219."
"2","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe2 Chk Std 9 out of range",24.1508286167501,0,24.1508286167501,"Plate1_1_C_H3_20250131","Standard curve was better on 20260218, so used that curve instead of the one ran on 20260219."
"3","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe2 Chk Std 9 out of range",25.9281976582704,0,25.9281976582704,"Plate1_1_C_H3_20250131","Standard curve was better on 20260218, so used that curve instead of the one ran on 20260219."
"4","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe2 Chk Std 9 out of range",6.37713820154676,0,6.37713820154676,"Plate1_1_FW_E3_20250131","Standard curve was better on 20260218, so used that curve instead of the one ran on 20260219."
"5","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe2 Chk Std 9 out of range",9.22092866797929,0,9.22092866797929,"Plate1_1_FW_E3_20250131","Standard curve was better on 20260218, so used that curve instead of the one ran on 20260219."
"6","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe2 Chk Std 9 out of range",8.50998105137116,0,8.50998105137116,"Plate1_1_FW_E3_20250131","Standard curve was better on 20260218, so used that curve instead of the one ran on 20260219."
"7","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe2 Chk Std 9 out of range",50.455890431251,0,50.455890431251,"Plate1_1_SW_C6_20250204","Standard curve was better on 20260218, so used that curve instead of the one ran on 20260219."
"8","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe2 Chk Std 9 out of range",44.768309498386,0,44.768309498386,"Plate1_1_SW_C6_20250204","Standard curve was better on 20260218, so used that curve instead of the one ran on 20260219."
"9","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe2 Chk Std 9 out of range",45.4792571149941,0,45.4792571149941,"Plate1_1_SW_C6_20250204","Standard curve was better on 20260218, so used that curve instead of the one ran on 20260219."
"10","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe2 Chk Std 9 out of range",18.463247683885,0,18.463247683885,"Plate1_1_C_H6_20250131","Standard curve was better on 20260218, so used that curve instead of the one ran on 20260219."
"11","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe2 Chk Std 9 out of range",18.463247683885,0,18.463247683885,"Plate1_1_C_H6_20250131","Standard curve was better on 20260218, so used that curve instead of the one ran on 20260219."
"12","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe2 Chk Std 9 out of range",18.8187214921891,0,18.8187214921891,"Plate1_1_C_H6_20250131","Standard curve was better on 20260218, so used that curve instead of the one ran on 20260219."
"13","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe2 Chk Std 9 out of range",18.463247683885,0,18.463247683885,"Plate1_1_FW_H3_20250131","Standard curve was better on 20260218, so used that curve instead of the one ran on 20260219."
"14","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe2 Chk Std 9 out of range",16.6858786423647,0,16.6858786423647,"Plate1_1_FW_H3_20250131","Standard curve was better on 20260218, so used that curve instead of the one ran on 20260219."
"15","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe2 Chk Std 9 out of range",19.1741953004932,0,19.1741953004932,"Plate1_1_FW_H3_20250131","Standard curve was better on 20260218, so used that curve instead of the one ran on 20260219."
"16","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe2 Chk Std 9 out of range",41.2135714153453,0,41.2135714153453,"Plate1_1_SW_H6_20250204","Standard curve was better on 20260218, so used that curve instead of the one ran on 20260219."
"17","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe2 Chk Std 9 out of range",36.9478857156965,0,36.9478857156965,"Plate1_1_SW_H6_20250204","Standard curve was better on 20260218, so used that curve instead of the one ran on 20260219."
"18","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe2 Chk Std 9 out of range",36.2369380990884,0,36.2369380990884,"Plate1_1_SW_H6_20250204","Standard curve was better on 20260218, so used that curve instead of the one ran on 20260219."
"19","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe2 Chk Std 9 out of range",24.1508286167501,0,24.1508286167501,"Plate1_1_C_B4_20250131","Standard curve was better on 20260218, so used that curve instead of the one ran on 20260219."
"20","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe2 Chk Std 9 out of range",13.8420881759322,6.45919056425947,20.3012787401916,"Plate1_1_C_B4_20250131","Standard curve was better on 20260218, so used that curve instead of the one ran on 20260219."
"21","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe2 Chk Std 9 out of range",26.2836714665745,0,26.2836714665745,"Plate1_1_C_B4_20250131","Standard curve was better on 20260218, so used that curve instead of the one ran on 20260219."
"22","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe2 Chk Std 9 out of range",6.73261200985083,1.36766372972027,8.10027573957109,"Plate1_1_FW_I5_20250131","Standard curve was better on 20260218, so used that curve instead of the one ran on 20260219."
"23","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe2 Chk Std 9 out of range",9.57640247628336,0,9.57640247628336,"Plate1_1_FW_I5_20250131","Standard curve was better on 20260218, so used that curve instead of the one ran on 20260219."
"24","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe2 Chk Std 9 out of range",10.9982977094996,0,10.9982977094996,"Plate1_1_FW_I5_20250131","Standard curve was better on 20260218, so used that curve instead of the one ran on 20260219."
"25","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe2 Chk Std 9 out of range",14.1975619842362,0,14.1975619842362,"Plate1_1_FW_E3_20250204","Standard curve was better on 20260218, so used that curve instead of the one ran on 20260219."
"26","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe2 Chk Std 9 out of range",14.1975619842362,0,14.1975619842362,"Plate1_1_FW_E3_20250204","Standard curve was better on 20260218, so used that curve instead of the one ran on 20260219."
"27","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe2 Chk Std 9 out of range",14.1975619842362,0,14.1975619842362,"Plate1_1_FW_E3_20250204","Standard curve was better on 20260218, so used that curve instead of the one ran on 20260219."
"28","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe2 Chk Std 9 out of range",45.8347309232982,0,45.8347309232982,"Plate1_1_SW_C6_20250131","Standard curve was better on 20260218, so used that curve instead of the one ran on 20260219."
"29","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe2 Chk Std 9 out of range",33.0376738243518,0,33.0376738243518,"Plate1_1_SW_C6_20250131","Standard curve was better on 20260218, so used that curve instead of the one ran on 20260219."
"30","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe2 Chk Std 9 out of range",30.9048309745274,0.736495469842578,31.6413264443699,"Plate1_1_SW_C6_20250131","Standard curve was better on 20260218, so used that curve instead of the one ran on 20260219."
"31","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe2 Chk Std 9 out of range",11.7092453261078,0,11.7092453261078,"Plate1_1_FW_I5_20250131 dup","Standard curve was better on 20260218, so used that curve instead of the one ran on 20260219."
"32","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe2 Chk Std 9 out of range",9.22092866797929,0,9.22092866797929,"Plate1_1_FW_I5_20250131 dup","Standard curve was better on 20260218, so used that curve instead of the one ran on 20260219."
"33","FE_Tot_low Std curve r2 low; FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe2 Chk Std 9 out of range",9.93187628458743,0,9.93187628458743,"Plate1_1_FW_I5_20250131 dup","Standard curve was better on 20260218, so used that curve instead of the one ran on 20260219."
