"","Sample_ID","Site","Zone","Grid","Depth_cm","Event_Time","Time_of_day","Source","Volume_mL","Collection_Date","Evacuation_Date","NH3_Conc_mgL","NH3_Conc_uM","NH3_Conc_Flag","NH3_QAQC_Flag","PO4_Conc_mgL","PO4_Conc_uM","PO4_Conc_Flag","PO4_QAQC_Flag","Analysis_rundate","Run_notes","Field_notes"
"1","TEMPEST_C_H3_20240426","TEMPEST","C","H3","15",NA,NA,"PW",5,"20240426",20240423,0.019803,1.41382338452312,"bdl","NH3 blanks out of range",0.006043,0.195100614513665,"Within_Range","","01/20/2026","",NA
"2","TEMPEST_C_I5_20240426","TEMPEST","C","I5","15",NA,NA,"PW",5,"20240426",20240423,0.0201,1.43502752254278,"Within_Range","NH3 blanks out of range",0.005691,0.183736157073848,"Within_Range","","01/20/2026","",NA
"3","TEMPEST_FW_C3_T2_20240612","TEMPEST","FW","C3","15","T2","AM","PW",5,"20240612",20240611,0.009252,0.66054102679432,"bdl","NH3 blanks out of range",0.002943,0.0950159041061916,"bdl","","01/20/2026","",NA
"4","TEMPEST_FW_C3_T4_20240613","TEMPEST","FW","C3","15","T4","AM","PW",5,"20240613",20240612,0.0143,1.02093997872447,"bdl","NH3 blanks out of range",0.015253,0.492449060595222,"Within_Range","","01/20/2026","",NA
"5","TEMPEST_FW_C3_T5_20240613","TEMPEST","FW","C3","15","T5","PM","PW",5,"20240613",20240613,0.013199,0.942334739803094,"bdl","NH3 blanks out of range",0.003481,0.112385444170456,"Within_Range","","01/20/2026","",NA
"6","TEMPEST_FW_C6_20240426","TEMPEST","FW","C6","15",NA,NA,"PW",5,"20240426",20240423,0.017752,1.26739346170047,"bdl","NH3 blanks out of range",0.020799,0.671503836053238,"Within_Range","","01/20/2026","",NA
"7","TEMPEST_FW_C6_T0_20240610","TEMPEST","FW","C6","15","T0",NA,"PW",5,"20240610",20240607,0.035898,2.56291631861895,"Within_Range","NH3 blanks out of range",0.017438,0.562992638737264,"Within_Range","","01/20/2026","",NA
"8","TEMPEST_FW_C6_T1_20240611","TEMPEST","FW","C6","15","T1",NA,"PW",5,"20240611",20240610,0.016823,1.20106806028543,"bdl","NH3 blanks out of range",0.012069,0.389652377389611,"Within_Range","","01/20/2026","",NA
"9","TEMPEST_FW_C6_T4_20240613","TEMPEST","FW","C6","15","T4","AM","PW",5,"20240613",20240612,0.014405,1.02843639115566,"bdl","NH3 blanks out of range",0.008397,0.271100423642436,"Within_Range","","01/20/2026","",NA
"10","TEMPEST_FW_C6_T5_20240613","TEMPEST","FW","C6","15","T5","PM","PW",5,"20240613",20240613,0.009534,0.680674248752383,"bdl","NH3 blanks out of range",0.012236,0.395044037595433,"Within_Range","","01/20/2026","",NA
"11","TEMPEST_FW_D5_T1_20240611","TEMPEST","FW","D5","15","T1",NA,"PW",5,"20240611",20240610,0.009305,0.66432493021197,"bdl","NH3 blanks out of range",0.003454,0.111513738628198,"Within_Range","","01/20/2026","",NA
"12","TEMPEST_FW_D5_T2_20240612","TEMPEST","FW","D5","15","T2","AM","PW",5,"20240612",20240611,0.010386,0.741502281051211,"bdl","NH3 blanks out of range",0.002535,0.0818434648009499,"bdl","","01/20/2026","",NA
"13","TEMPEST_FW_D5_T4_20240613","TEMPEST","FW","D5","15","T4","AM","PW",5,"20240613",20240612,0.013932,0.994666838013237,"bdl","NH3 blanks out of range",0.002796,0.0902699517094501,"bdl","","01/20/2026","",NA
"14","TEMPEST_FW_D5_T5_20240613","TEMPEST","FW","D5","15","T5","PM","PW",5,"20240613",20240613,0.011948,0.85302034026573,"bdl","NH3 blanks out of range",0.003284,0.106025222251014,"Within_Range","","01/20/2026","",NA
"15","TEMPEST_FW_E3_T2_20240612","TEMPEST","FW","E3","15","T2","AM","PW",5,"20240612",20240611,0.019348,1.38133893065462,"bdl","NH3 blanks out of range",0.005963,0.192517783277343,"Within_Range","","01/20/2026","",NA
"16","TEMPEST_FW_E3_T4_20240613","TEMPEST","FW","E3","15","T4","AM","PW",5,"20240613",20240612,0.018854,1.34607009502595,"bdl","NH3 blanks out of range",0.003209,0.103603817966962,"Within_Range","","01/20/2026","",NA
"17","TEMPEST_FW_F4_T1_20240611","TEMPEST","FW","F4","15","T1",NA,"PW",5,"20240611",20240610,0.005598,0.399665874188781,"bdl","NH3 blanks out of range",0.004668,0.150708202639382,"Within_Range","","01/20/2026","",NA
"18","TEMPEST_FW_F4_T2_20240612","TEMPEST","FW","F4","15","T2","AM","PW",5,"20240612",20240611,0.009569,0.683173052896114,"bdl","NH3 blanks out of range",0.004218,0.136179776935072,"Within_Range","","01/20/2026","",NA
"19","TEMPEST_FW_F4_T4_20240613","TEMPEST","FW","F4","15","T4","AM","PW",5,"20240613",20240612,0.012325,0.87993603061392,"bdl","NH3 blanks out of range",0.003767,0.121619065840307,"Within_Range","","01/20/2026","",NA
"20","TEMPEST_FW_F4_T5_20240613","TEMPEST","FW","F4","15","T5","PM","PW",5,"20240613",20240613,0.012158,0.868013165128117,"bdl","NH3 blanks out of range",0.004453,0.143766843691767,"Within_Range","","01/20/2026","",NA
"21","TEMPEST_FW_F6_T5_20240613","TEMPEST","FW","F6","15","T5","PM","PW",5,"20240613",20240613,0.023884,1.70518394768218,"Within_Range","NH3 blanks out of range",0.006069,0.195940034665469,"Within_Range","","01/20/2026","",NA
