"","Sample_ID","Site","Plot","Grid","Depth_cm","Event_Time","Time_of_day","Source","Volume_mL","Collection_Date","Evacuation_Date","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","Deployment_Date","Deployment_Time_24hrs","Collection_Time_24hrs","NOx_Conc_mgL","NOx_Conc_uM","NOx_Conc_Flag","NOx_QAQC_Flag","NH3_Conc_mgL","NH3_Conc_uM","NH3_Conc_Flag","NH3_QAQC_Flag","PO4_Conc_mgL","PO4_Conc_uM","PO4_Conc_Flag","PO4_QAQC_Flag","Analysis_rundate","Run_notes","Field_notes"
"1","TMP_C_C3_20241213_15cm","TEMPEST","C","C3","15",NA,NA,"PW",6.5,"20241213",20241210,1437,1445,NA,NA,NA,0.001067,0.0761778291817487,"bdl","",0.005249,0.374749227155576,"bdl","",0.013033,0.42077549378729,"Within_Range","Performance Check NOT Within 25% - REASSESS","04/16/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk",NA
"2","TMP_C_C6_20241213_15cm","TEMPEST","C","C6","15",NA,NA,"PW",8,"20241213",20241210,1444,1412,NA,NA,NA,0.016328,1.16572783025266,"bdl","",0.348848,24.9057950837813,"Within_Range","",0.04295,1.38665752000032,"Within_Range","Performance Check NOT Within 25% - REASSESS","04/16/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk",NA
"3","TMP_C_D5_20241213_15cm","TEMPEST","C","D5","15",NA,NA,"PW",8,"20241213",20241210,1448,1430,NA,NA,NA,NA,NA,NA,NA,0.007408,0.528889745621738,"bdl","",0.023926,0.77246025200297,"Within_Range","","04/17/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk",NA
"4","TMP_C_F4_20241003_15cm","TEMPEST","C","F4","15",NA,NA,"PW",6.5,"20241003",20240930,1117,1458,NA,NA,NA,0.006121,0.437005147536536,"bdl","",0.067048,4.78685200653973,"Within_Range","",0.006161,0.19891029058724,"Within_Range","Performance Check NOT Within 25% - REASSESS","04/16/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk",NA
"5","TMP_C_F6_20241213_15cm","TEMPEST","C","F6","15",NA,NA,"PW",9,"20241213",20241210,1425,1515,NA,NA,NA,NA,NA,NA,NA,0.017453,1.2460465348726,"bdl","",0.074597,2.4083932716988,"Within_Range","","04/17/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk",NA
"6","TMP_C_I5_20241003_15cm","TEMPEST","C","I5","15",NA,NA,"PW",8,"20241003",20240930,1108,1452,NA,NA,NA,0.005428,0.387528825490658,"bdl","",0.106886,7.6310622773387,"Within_Range","",0.002947,0.0951450456680076,"bdl","Performance Check NOT Within 25% - REASSESS","04/16/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk",NA
"7","TMP_C_I5_20241213_15cm","TEMPEST","C","I5","15",NA,NA,"PW",8,"20241213",20241210,1418,1515,NA,NA,NA,NA,NA,NA,NA,0.000633,0.0451926577994817,"bdl","",0.004384,0.14153915175044,"Within_Range","","04/17/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk",NA
"8","TMP_C_RainWater_Dec10-12_2024","TEMPEST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.118756,8.47851385408412,"Within_Range","",0.076184,5.43911128245768,"Within_Range","",0.063407,2.04711975251828,"Within_Range","","04/17/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk",NA
"9","TMP_FW_B4_20241003_15cm","TEMPEST","FW","B4","15",NA,NA,"PW",5.5,"20241003",20240930,1149,1215,NA,NA,NA,0.005623,0.401450734291446,"bdl","",0.008935,0.637909000692526,"bdl","",0.005617,0.181347038180251,"Within_Range","Performance Check NOT Within 25% - REASSESS","04/16/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk",NA
"10","TMP_FW_C3_20241213_15cm","TEMPEST","FW","C3","15",NA,NA,"PW",8,"20241213",20241210,1409,1146,NA,NA,NA,0,0,"bdl","",0.010683,0.762706419070873,"bdl","",0.003585,0.115743124777675,"Within_Range","","04/17/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk","yellow"
"11","TMP_FW_C6_20241213_15cm","TEMPEST","FW","C6","15",NA,NA,"PW",6,"20241213",20241210,1402,1218,NA,NA,NA,0,0,"bdl","",0.009323,0.665610029485889,"bdl","",0.010188,0.328923557945593,"Within_Range","","04/17/2026","Run 3 needed samples reran because volume was low for NH4 and PO4, 0416 end of run had low volume for PE_Chk",NA
