Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height	Type
No.	Selected Peak:		min	µg/mL	%	µS*min	µS	
			CD	CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
4	Standard 1	Calibration Standard	4.343 	0.4565 	6.17 	0.5324 	2.53 	 MB
5	Standard 2	Calibration Standard	4.343 	0.9668 	6.58 	1.1275 	5.32 	 MB
6	Standard 3	Calibration Standard	4.330 	1.9262 	7.25 	2.2463 	10.35 	 M 
7	Standard 4	Calibration Standard	4.307 	9.9700 	7.59 	11.6266 	49.07 	 M 
8	Standard 5	Calibration Standard	4.283 	20.0251 	7.64 	23.3526 	92.25 	 M 
9	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
10	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
11	TEMPEST_FW_B4_20230607_0800	Unknown	4.487 	11.1494 	6.94 	11.8200 	36.12 	 M 
12	TEMPEST_FW_C3_20230607_0800	Unknown	4.430 	10.7750 	7.73 	11.4231 	37.47 	 M 
13	TEMPEST_FW_D5_20230607_0800	Unknown	4.457 	2.3655 	1.61 	2.5078 	15.06 	Rd
14	TEMPEST_FW_E3_20230607_0800	Unknown	4.563 	1.6662 	0.69 	1.5544 	8.97 	Rd
15	TEMPEST_FW_F4_20230607_0800	Unknown	4.393 	10.7834 	8.13 	11.4320 	35.10 	 M 
16	TEMPEST_FW_H3_20230607_0800	Unknown	4.430 	10.0420 	7.54 	10.6460 	32.06 	 M 
17	TEMPEST_FW_H6_20230607_0800	Unknown	4.450 	3.0646 	2.08 	3.2489 	19.30 	Rd
18	TEMPEST_FW_I5_20230607_0800	Unknown	4.440 	2.3636 	1.67 	2.5057 	14.84 	Rd
19	TEMPEST_SW_B4_20230607_0800	Unknown	4.310 	377.6524 	8.31 	8.8081 	38.05 	 M 
20	TEMPEST_SW_B4_20230607_0800_dup	Unknown	4.320 	403.8132 	8.32 	9.4182 	40.22 	 M 
21	TEMPEST_SW_C3_20230607_0800	Unknown	4.323 	409.0203 	8.33 	9.5397 	40.62 	 M 
22	TEMPEST_SW_C6_20230607_0800	Unknown	4.343 	191.7140 	7.37 	4.4714 	18.57 	 M 
23	Standard 1	Check Standard	4.347 	0.4763 	6.33 	0.5554 	2.58 	 MB
24	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
25	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
26	TEMPEST_SW_D5_20230607_0800	Unknown	4.333 	293.4522 	8.10 	6.8443 	29.03 	 M 
