,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.064,0.062,0.068,0.045,0.047,0.046,0.045,0.044,0.046,0.047,0.045,0.045,670
B,0.124,0.126,0.111,0.045,0.045,0.045,0.047,0.044,0.045,0.044,0.044,0.044,670
C,0.292,0.224,0.219,0.045,0.045,0.045,0.044,0.044,0.044,0.044,0.044,0.052,670
D,0.501,0.452,0.598,0.046,0.045,0.045,0.045,0.044,0.045,0.045,0.045,0.044,670
E,0.803,0.922,0.578,0.045,0.045,0.044,0.045,0.044,0.044,0.045,0.045,0.044,670
F,1.329,1.11,1.011,0.045,0.044,0.044,0.044,0.045,0.044,0.045,0.045,0.045,670
G,1.395,1.307,1.223,0.044,0.045,0.044,0.045,0.045,0.044,0.044,0.044,0.044,670
H,1.383,1.472,1.071,0.046,0.044,0.045,0.045,0.045,0.046,0.044,0.045,0.047,670
,,,,,,,,,,,,,
,0,0.064666667,,,,,,,,,,,
,5,0.120333333,,,,,,,,,,,
,12.5,0.2215,,,,,,,,,,,
,25,0.4765,,,,,,,,,,,
,50,0.767666667,,,,,,,,,,,
,100,1.15,,,,,,,,,,,
,,1.308333333,,,,,,,,,,,
,,1.308666667,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
